"","seqnames","start","end","width","strand","Conc","Conc_TES","Conc_TEAD1","Fold","p.value","FDR"
"1653","1",207007355,207007755,401,"*",7.98388924499783,4.48644713409597,8.91856033132673,-4.43211319723075,3.02996549006428e-46,3.23423566351945e-43
"12238","20",13643996,13644396,401,"*",7.89384294731641,4.01711300182711,8.84388199403872,-4.82676899221161,1.00811123355945e-45,1.03303174325304e-42
"12576","20",60512492,60512892,401,"*",7.7210975955308,3.61949729126464,8.6784551264149,-5.05895783515026,3.28729590766139e-45,3.23899794471037e-42
"24606","9",127524388,127524788,401,"*",8.55314395502717,5.29878260517058,9.47549803848303,-4.17671543331245,3.61295496341081e-45,3.42802519454289e-42
"5777","13",59448247,59448647,401,"*",7.92109662635795,4.71852394712704,8.84053210265089,-4.12200815552385,2.04386810053201e-44,1.86999332140818e-41
"9885","2",36655500,36655900,401,"*",7.74997385482982,4.50443639244124,8.6718384460468,-4.16740205360556,7.37639173984208e-44,6.51615184797498e-41
"7252","15",83733281,83733681,401,"*",7.71201893749778,3.54392883545582,8.67132449299641,-5.12739565754059,7.6633188459634e-44,6.54396340652968e-41
"148","1",23196921,23197321,401,"*",7.74841744367677,4.49019710107408,8.67098460804827,-4.18078750697419,1.56947251255809e-43,1.29699183311978e-40
"21964","8",6594081,6594481,401,"*",8.16852895832796,4.75456422982314,9.09921351608658,-4.34464928626344,2.63899711120997e-43,2.11268212484303e-40
"16772","5",37771678,37772078,401,"*",8.55062821602753,4.95891880169024,9.48952030089481,-4.53060149920457,4.15883118717775e-43,3.22851325312484e-40
"4277","11",126992110,126992510,401,"*",7.8492448425549,4.16877236496016,8.79185684770405,-4.62308448274389,6.12938374964444e-43,4.61831037936445e-40
"5067","12",81888301,81888701,401,"*",7.55968108031541,3.61766505184732,8.5119675797667,-4.89430252791939,8.60642210935742e-43,6.29940918850052e-40
"4326","11",129861753,129862153,401,"*",7.70390469978322,4.39824503612976,8.62904278222595,-4.23079774609619,3.46529057678576e-42,2.46593927766938e-39
"24020","9",71793741,71794141,401,"*",8.14056961947552,5.00038993738147,9.0563384881215,-4.05594855074002,3.59808109422776e-42,2.49123355329532e-39
"10052","2",47076810,47077210,401,"*",8.10608780767103,4.47573746271909,9.04662862195662,-4.57089115923752,8.05922929580333e-42,5.43319305526026e-39
"16496","5",5069863,5070263,401,"*",7.83917238984217,4.72588477722095,8.75330835035916,-4.02742357313821,8.48570587406473e-42,5.57402084825103e-39
"19156","6",71469089,71469489,401,"*",7.21472604873049,3.12572535458371,8.17170390286083,-5.04597854827712,1.13131573280794e-41,7.24551161076846e-39
"24358","9",97768695,97769095,401,"*",7.23055358682454,3.14635692258769,8.18738577434726,-5.04102885175957,8.32610593985765e-41,5.20239468212862e-38
"24548","9",118643127,118643527,401,"*",7.69236795232286,3.75513619681535,8.64449330239374,-4.88935710557839,9.08457251022495e-41,5.54115663254626e-38
"18388","5",171667814,171668214,401,"*",7.37566069057149,3.40997521180494,8.32873637675785,-4.91876116495291,1.72595741333686e-40,1.02826923290381e-37
"24253","9",87280481,87280881,401,"*",7.48880745419231,3.48937277785839,8.44298552464316,-4.95361274678477,3.42077058735316e-40,1.9916659297003e-37
"19230","6",80425019,80425419,401,"*",7.33357713851911,3.66912502080281,8.27553526507959,-4.60641024427679,1.87927756712927e-39,1.06985183810484e-36
"13859","3",101036271,101036671,401,"*",7.89230090992895,4.6956271460769,8.81139686779626,-4.11576972171936,3.90882708299584e-39,2.17687678722146e-36
"8732","18",22551782,22552182,401,"*",8.05544345714879,4.08886265393281,9.00854873344556,-4.91968607951276,1.21724998579325e-38,6.63478939064927e-36
"24177","9",81559725,81560125,401,"*",7.25373267208416,3.34525093682639,8.20487790720047,-4.85962697037409,2.04824186114346e-38,1.09316374997444e-35
"8632","18",9808413,9808813,401,"*",8.35033371653826,5.72976942204625,9.22799621643329,-3.49822679438704,2.98292051063459e-38,1.55951954370279e-35
"19313","6",88359935,88360335,401,"*",8.48704832329496,6.06293707967698,9.34596473265829,-3.28302765298131,4.81558303977303e-38,2.46731212625811e-35
"8550","18",3081646,3082046,401,"*",7.99517079838502,5.31757154438144,8.87777378544979,-3.56020224106835,6.40773500540266e-38,3.21869324251775e-35
"9958","2",40434878,40435278,401,"*",7.43537589417027,3.93943019236054,8.36997762402415,-4.43054743166361,7.34663552503939e-38,3.61934824770113e-35
"6842","15",39213425,39213825,401,"*",8.66702182031477,6.0104397101898,9.54782890158979,-3.53738919139999,8.77342938458179e-38,4.24071158441918e-35
"25204","X",80765242,80765642,401,"*",7.6139127891188,4.06558931793215,8.55089793989009,-4.48530862195795,1.02584068497306e-37,4.86666419771107e-35
"7115","15",66774317,66774717,401,"*",8.02913071527567,4.85307437638908,8.94702841179021,-4.09395403540113,1.14293404668658e-37,5.32357898327577e-35
"7279","15",86750905,86751305,401,"*",7.73338524289723,4.84502070632111,8.63251713144413,-3.78749642512303,2.64297184975245e-37,1.20906522940997e-34
"15529","4",56302757,56303157,401,"*",7.85235128656493,5.06156379589713,8.74415374953311,-3.68258995363598,3.00316652496485e-37,1.34973894800964e-34
"14812","3",187519567,187519967,401,"*",7.05789953107263,2.47145178497598,8.0275574663879,-5.55610568141192,4.48437973721895e-37,1.9807041397944e-34
"16918","5",56278461,56278861,401,"*",7.59794036766927,4.62001757463843,8.50334706753891,-3.88332949290048,4.79989553817195e-37,2.08413091350659e-34
"24015","9",71663770,71664170,401,"*",8.23723228111203,5.1287275943075,9.1510744207397,-4.02234682643221,7.24994395911269e-37,3.09548440574248e-34
"7781","16",69917803,69918203,401,"*",7.2617734813073,3.5874853500001,8.20413396460315,-4.61664861460305,9.11295389246935e-37,3.8271418494636e-34
"2901","10",77991825,77992225,401,"*",7.70403208603282,4.74169484146695,8.60837652480554,-3.86668168333859,1.01050001008945e-36,4.17532084814057e-34
"14258","3",140629725,140630125,401,"*",6.98694453931565,2.93185914934975,7.94288324886842,-5.01102409951867,1.29289819238157e-36,5.25737553848113e-34
"2003","1",236980512,236980912,401,"*",7.05602911132756,2.98854668807138,8.01235058127063,-5.02380389319925,1.31913861578665e-36,5.28026454050349e-34
"24456","9",109345614,109346014,401,"*",7.83826627035092,4.86447001946838,8.7433929102544,-3.87892289078602,3.89114927710285e-36,1.53359172585878e-33
"12578","20",61186176,61186576,401,"*",7.46239718967072,4.04874217658071,8.39306650191862,-4.34432432533791,4.07285976737619e-36,1.58088668970672e-33
"13936","3",106728388,106728788,401,"*",7.51319346429313,4.11671066481097,8.443012089879,-4.32630142506802,7.86145616741721e-36,3.00589229995364e-33
"25483","X",140132961,140133361,401,"*",7.55472432773588,4.48661935363963,8.46604295200021,-3.97942359836058,9.34690522676743e-36,3.521309089696e-33
"7003","15",57551695,57552095,401,"*",7.42641849241374,3.38335811322388,8.38198267380061,-4.99862456057673,1.01749655285879e-35,3.73433307520638e-33
"4005","11",103633393,103633793,401,"*",8.19028774808477,5.52513665183568,9.07183047613156,-3.54669382429588,1.02038923906803e-35,3.73433307520638e-33
"2909","10",79157519,79157919,401,"*",8.09591878917776,5.15864902199198,8.99852877313233,-3.83987975114035,1.8454442984208e-35,6.65867493478084e-33
"16530","5",9359160,9359560,401,"*",8.35456114598477,5.64211621778437,9.24007986791935,-3.59796365013498,1.87738485995307e-35,6.67983963087191e-33
"23363","8",128183167,128183567,401,"*",8.21991320340745,5.46955070318827,9.10851927699704,-3.63896857380876,2.04099354917529e-35,7.16248941681815e-33
"13079","22",45518609,45519009,401,"*",7.45412768306013,4.23806525636912,8.37433408208964,-4.13626882572052,2.62861896168533e-35,9.09999467033172e-33
"4137","11",113553226,113553626,401,"*",7.22541622520101,3.34285066214989,8.17566047111042,-4.83280980896053,3.59531436275037e-35,1.22806351126585e-32
"23913","9",37472366,37472766,401,"*",7.70831188294775,4.76780309470733,8.61114779661496,-3.84334470190763,5.69381062259269e-35,1.91926369117868e-32
"3698","11",69420522,69420922,401,"*",7.8647051147607,5.11600443682544,8.75317770837178,-3.63717327154634,1.05915753482204e-34,3.5238308736456e-32
"378","1",59128775,59129175,401,"*",8.48271008534638,5.92691394588985,9.35449824286619,-3.42758429697633,1.1717021781297e-34,3.76932714586772e-32
"18862","6",35425242,35425642,401,"*",8.8973735128609,6.56101084553966,9.74696538207035,-3.18595453653069,1.17625095073358e-34,3.76932714586772e-32
"24427","9",106892663,106893063,401,"*",6.92772719632044,3.03307133156733,7.87839385237582,-4.84532252080849,1.17708709372089e-34,3.76932714586772e-32
"14950","3",192879717,192880117,401,"*",7.88449209415306,5.14884029970466,8.77191078813845,-3.62307048843379,1.63145302786459e-34,5.15982267504138e-32
"2888","10",77416389,77416789,401,"*",7.62734566507825,4.75657029000067,8.52519540552065,-3.76862511551998,1.87551972732848e-34,5.85939809447573e-32
"4411","12",10031738,10032138,401,"*",7.03853161515906,2.78227732035854,8.00028184983336,-5.21800452947482,2.37212473584006e-34,7.32157728707839e-32
"13452","3",44048319,44048719,401,"*",7.6392375835202,4.76629181954553,8.53724644139859,-3.77095462185305,4.32188395136788e-34,1.30823047928397e-31
"2082","1",244164018,244164418,401,"*",7.31382902732908,3.53218960871519,8.26040032221493,-4.72821071349974,4.34068197123654e-34,1.30823047928397e-31
"22592","8",73202788,73203188,401,"*",7.91106655851664,5.26598971638894,8.79087841968964,-3.5248887033007,6.52215285762094e-34,1.94284316170388e-31
"15946","4",121784980,121785380,401,"*",7.63105206226057,4.63122190446568,8.53793133434446,-3.90670942987878,7.08849142783302e-34,2.08727555630145e-31
"20731","7",32115740,32116140,401,"*",7.54731663803544,4.08059846451773,8.48054850471022,-4.39995004019249,8.61449367850837e-34,2.50779658018213e-31
"15108","4",15452017,15452417,401,"*",7.12802640658437,2.77355919792937,8.09232529238048,-5.31876609445111,9.67139637689061e-34,2.7838408132942e-31
"9979","2",43086466,43086866,401,"*",7.94697205942957,4.91763597978183,8.85579734574998,-3.93816136596816,1.34637221748142e-33,3.83237371860434e-31
"19015","6",52424014,52424414,401,"*",7.44517489535765,3.85279725081374,8.38409588530845,-4.53129863449471,4.28323462849803e-33,1.2058011506908e-30
"6118","13",113897140,113897540,401,"*",7.02048372563591,3.56619220711101,7.95312430571412,-4.38693209860311,5.91356611410171e-33,1.64667105120715e-30
"4801","12",56591976,56592376,401,"*",7.33074592835213,4.2318134225898,8.24399692248664,-4.01218349989684,7.72642804924805e-33,2.1283401480176e-30
"8513","17",83109749,83110149,401,"*",8.01487623484026,4.85525669514807,8.93180557242451,-4.07654887727644,1.04852514991141e-32,2.85756566919472e-30
"23912","9",37415018,37415418,401,"*",8.24559571080396,5.54827207043732,9.1298585161772,-3.58158644573987,1.140343669317e-32,3.07508674953294e-30
"21804","7",137508741,137509141,401,"*",7.14585216164522,3.97339182444085,8.06353900018922,-4.09014717574838,1.49104529967278e-32,3.97891650906429e-30
"18795","6",22877881,22878281,401,"*",7.54165903079413,4.79101056664929,8.43028805667572,-3.63927749002644,1.58940097134187e-32,4.19765712204495e-30
"8598","18",8800502,8800902,401,"*",7.98060993291556,5.12535893086326,8.87731401258985,-3.75195508172659,1.69126326029111e-32,4.42110022470793e-30
"24310","9",92970393,92970793,401,"*",8.35481284981389,5.77190810625197,9.22909475327649,-3.45718664702452,3.09939748734273e-32,8.02023887179252e-30
"17075","5",66454525,66454925,401,"*",7.44894877495952,4.36623953668231,8.36118831282397,-3.99494877614167,3.61599571649971e-32,9.26345782652895e-30
"4388","12",6053549,6053949,401,"*",7.42837888625481,4.15656310886672,8.3516919730598,-4.19512886419309,4.47377447145341e-32,1.13474410306627e-29
"3483","11",28836258,28836658,401,"*",8.57588120794795,6.35402502325876,9.41231811387142,-3.05829309061266,4.74814414651394e-32,1.19252898769994e-29
"9090","18",73688896,73689296,401,"*",7.0284138075716,3.31888292273753,7.97219273697796,-4.65330981424043,5.65293246502241e-32,1.40598858144606e-29
"15036","4",7861393,7861793,401,"*",7.69920469230078,4.59470052500943,8.6128002798137,-4.01809975480428,8.63842009155826e-32,2.12787544139942e-29
"14849","3",188594158,188594558,401,"*",7.32095908555386,3.68316767950825,8.26181214305903,-4.57864446355078,9.19542896835852e-32,2.24350951725151e-29
"7895","17",835349,835749,401,"*",8.06437076525437,5.77621580205939,8.90856582851247,-3.13235002645308,1.13248245510718e-31,2.73697505046564e-29
"24364","9",98223231,98223631,401,"*",6.99841435032786,3.42537811469722,7.93649302923022,-4.511114914533,1.33620467231717e-31,3.19914871919825e-29
"19410","6",105608913,105609313,401,"*",8.54906741820264,6.08414788938346,9.41211153905633,-3.32796364967287,1.45900108264569e-31,3.46080460511271e-29
"17517","5",93078439,93078839,401,"*",8.04597154873349,5.41801474603076,8.92428644300935,-3.50627169697859,1.89220324443972e-31,4.40885370162694e-29
"5681","13",44714095,44714495,401,"*",7.20728669753996,3.93602398942798,8.1305695842921,-4.19454559486412,1.89309824021767e-31,4.40885370162694e-29
"16978","5",57837611,57838011,401,"*",7.45508534447413,4.3388815480707,8.36939994299047,-4.03051839491977,4.11925705214712e-31,9.50694839296442e-29
"11937","2",234981295,234981695,401,"*",8.60613336484608,5.73900418767491,9.50371521295855,-3.76471102528364,6.30042109202261e-31,1.44110881728067e-28
"5837","13",72291301,72291701,401,"*",7.02940759414496,3.55096780445327,7.96319233238219,-4.41222452792892,6.49637874814269e-31,1.47278080327362e-28
"3316","11",8917448,8917848,401,"*",7.44096537464106,4.45151114483879,8.34715017043983,-3.89563902560104,8.69033394943826e-31,1.9528857466378e-28
"166","1",26239972,26240372,401,"*",7.53721231890354,4.69294712070029,8.43309763479023,-3.74015051408993,9.08395723608158e-31,2.02358970846902e-28
"12488","20",51910705,51911105,401,"*",8.21816805832594,5.91727043012936,9.06380920959115,-3.14653877946179,1.16955226657757e-30,2.58289568665381e-28
"2589","10",58963800,58964200,401,"*",7.23919617965355,3.98583407127628,8.16149499017091,-4.17566091889463,1.60265393221378e-30,3.50912721670536e-28
"10174","2",62654408,62654808,401,"*",7.39278702398363,4.35989136913473,8.30184422213654,-3.94195285300181,1.8652148681198e-30,4.04941309249941e-28
"24557","9",120366633,120367033,401,"*",6.60235245756741,1.97504325161315,7.5728664343633,-5.59782318275014,2.40764111936848e-30,5.18310505848587e-28
"20624","7",23713841,23714241,401,"*",7.44239856223759,4.65597420815257,8.33386066648588,-3.67788645833331,2.69253552735417e-30,5.74811459497993e-28
"21302","7",92025272,92025672,401,"*",7.52074852484751,4.88611733023533,8.39964932297274,-3.51353199273741,2.8734277483899e-30,6.08359273208697e-28
"1335","1",171909751,171910151,401,"*",7.00998390466099,3.32300071649502,7.95285949561768,-4.62985877912265,3.33326469572263e-30,6.99930942418215e-28
"20549","7",18778447,18778847,401,"*",7.19869356432747,4.22872714499321,8.10355951484864,-3.87483236985542,4.09022937823069e-30,8.51898343183039e-28
"24326","9",94922245,94922645,401,"*",7.79779348669465,5.28638837723271,8.66538579793783,-3.37899742070512,4.90886123007108e-30,1.01415489509646e-27
"12357","20",33909552,33909952,401,"*",8.09995249666017,5.86946955410669,8.93742158504419,-3.0679520309375,5.23619986284826e-30,1.07312774469157e-27
"18560","6",11277234,11277634,401,"*",6.82465910727875,3.30910860965094,7.76016355345609,-4.45105494380515,6.52482672999709e-30,1.32661119975449e-27
"10123","2",55156065,55156465,401,"*",8.07343386064703,5.34188244135298,8.96051925243262,-3.61863681107964,9.06193956495213e-30,1.82794305334601e-27
"16977","5",57825119,57825519,401,"*",7.17270956914711,4.05439627311393,8.08715315160131,-4.03275687848738,9.85017305014178e-30,1.97141979061353e-27
"4271","11",126645227,126645627,401,"*",7.06473839933642,3.86709614190476,7.98389020067861,-4.11679405877385,1.06289051521374e-29,2.11078521075547e-27
"7351","15",92510209,92510609,401,"*",7.41534288297725,4.34285066214989,8.32693919978217,-3.98408853763228,1.45862267703249e-29,2.87438428770911e-27
"16979","5",57841660,57842060,401,"*",7.35155464376871,3.80052271949043,8.28866059903697,-4.48813787954654,1.5412235695355e-29,3.01397445834813e-27
"13398","3",37936300,37936700,401,"*",7.71175721658249,4.86422330366413,8.60788684787532,-3.74366354421119,1.59192976427819e-29,3.08954975009686e-27
"6819","15",38894401,38894801,401,"*",7.52124919453682,4.39211175591222,8.43635147354965,-4.04423971763744,2.53124011733866e-29,4.87558716736705e-27
"4761","12",50187159,50187559,401,"*",6.84321131920521,3.56570845015611,7.76683423942773,-4.20112578927161,3.40741469163195e-29,6.50306577997568e-27
"5304","12",110039031,110039431,401,"*",7.88850570972277,5.50711224707414,8.74296108341572,-3.23584883634158,3.42694152664812e-29,6.50306577997568e-27
"5461","13",27403167,27403567,401,"*",7.30933468863329,4.40311843333288,8.20975083585421,-3.80663240252133,3.57368281970695e-29,6.7316622408274e-27
"17228","5",74186585,74186985,401,"*",7.29329110147278,4.40399937868,8.19249011238986,-3.78849073370986,3.73798409604011e-29,6.98975741404054e-27
"25106","X",46327508,46327908,401,"*",8.39870362088342,6.16874295042815,9.23611041627037,-3.06736746584222,3.96894188646528e-29,7.3678516845991e-27
"6271","14",37122215,37122615,401,"*",6.54700218258214,2.64824692047407,7.49781123349056,-4.8495643130165,4.47545549445865e-29,8.24836106885192e-27
"4852","12",64088419,64088819,401,"*",6.67307108538022,2.92400200231159,7.61839904670696,-4.69439704439537,4.93239966479389e-29,9.02558675804927e-27
"858","1",101174813,101175213,401,"*",7.6159463331007,5.05478489498067,8.48823211999205,-3.43344722501138,5.73726902183389e-29,1.04239260852015e-26
"17775","5",120354191,120354591,401,"*",6.47191198637984,2.23221772525787,7.43321466481617,-5.2009969395583,6.39128434943104e-29,1.15304170749102e-26
"342","1",54904541,54904941,401,"*",7.325149060592,4.51625736735884,8.21835200206662,-3.70209463470778,6.44263452299743e-29,1.15417770077027e-26
"13334","3",30659333,30659733,401,"*",6.57630308562028,2.51034996799455,7.53257752113106,-5.02222755313651,2.11353262834568e-28,3.76003325506664e-26
"7018","15",58469942,58470342,401,"*",7.09661044229869,4.07350555303786,8.00502828654704,-3.93152273350919,2.27488450896822e-28,4.01917181729295e-26
"7440","16",2835776,2836176,401,"*",7.99058080325618,4.70289022259726,8.91475554191201,-4.21186531931475,2.55286563505599e-28,4.47940492047016e-26
"16401","4",183118586,183118986,401,"*",8.16446452528733,5.5402331740872,9.04245110039904,-3.50221792631184,3.73185611537105e-28,6.50358435126364e-26
"21913","7",149233617,149234017,401,"*",7.02641045535181,3.26290892032178,7.97229295535318,-4.7093840350314,6.19267920285663e-28,1.07191929607285e-25
"13892","3",102733802,102734202,401,"*",7.27842565693147,3.4536577977015,8.22659914184213,-4.77294134414063,7.55479546263705e-28,1.29891778632105e-25
"8626","18",9643539,9643939,401,"*",7.60435447065986,4.91194105742463,8.48820637451361,-3.57626531708899,7.94840194290507e-28,1.35748107315561e-25
"20020","6",144953933,144954333,401,"*",7.78697711578491,5.29931406889373,8.65226658647146,-3.35295251757773,8.35995738443811e-28,1.41831382963269e-25
"24079","9",76654637,76655037,401,"*",6.77169719813808,2.93330609407643,7.72036654241844,-4.78706044834201,8.67218573448836e-28,1.46160561938239e-25
"9094","18",74316793,74317193,401,"*",7.14176327960485,3.85745417143546,8.06575531570574,-4.20830114427028,9.35797700660962e-28,1.56688009774722e-25
"7746","16",66240977,66241377,401,"*",7.24989944793413,4.40788157471685,8.14561644525518,-3.73773487053833,1.35883411196376e-27,2.26042936884985e-25
"6255","14",34223528,34223928,401,"*",7.2404414150481,4.15298938899429,8.15297789784529,-3.99998850885099,1.40464898298253e-27,2.32156759006752e-25
"4936","12",69052991,69053391,401,"*",6.86585938011786,3.66912502080281,7.78495883309092,-4.11583381228811,1.49352489593268e-27,2.45263594769253e-25
"24012","9",71609083,71609483,401,"*",6.40299325134864,2.12572535458371,7.36530386424571,-5.239578509662,1.59846923685909e-27,2.6082538159144e-25
"692","1",89952031,89952431,401,"*",7.35294718912156,4.65982483651936,8.2368585126562,-3.57703367613684,1.62250948655722e-27,2.63072455864702e-25
"2473","10",37535894,37536294,401,"*",8.42180404375727,6.53854258804881,9.2116833172369,-2.67314072918809,1.92568685366278e-27,3.10265696963102e-25
"11794","2",226185732,226186132,401,"*",7.58765464297945,5.05731491767144,8.45705395393683,-3.39973903626539,2.38090431904377e-27,3.81212542782895e-25
"20823","7",41027365,41027765,401,"*",7.34500930990718,4.68396110273207,8.22620039722817,-3.5422392944961,2.62718598046252e-27,4.18032611475086e-25
"9296","19",28023041,28023441,401,"*",6.88149372358895,3.17705541204994,7.82506990867115,-4.64801449662121,2.81261196074496e-27,4.44774649446693e-25
"14141","3",124774301,124774701,401,"*",7.09880853404853,3.46128241506078,8.03965048834913,-4.57836807328835,3.09446771594259e-27,4.8092963011547e-25
"10079","2",48694160,48694560,401,"*",6.78112599779133,3.57248516213593,7.70090920499829,-4.12842404286236,3.09650447033642e-27,4.8092963011547e-25
"24704","X",10447866,10448266,401,"*",6.39486401207102,2.05101836644804,7.35889576939021,-5.30787740294217,3.09756378206935e-27,4.8092963011547e-25
"7888","16",88307157,88307557,401,"*",7.53582078072558,5.00906714908748,8.40487984861533,-3.39581269952786,3.19181642168239e-27,4.92578030666623e-25
"23602","9",2809787,2810187,401,"*",7.2680175880465,4.55127434453402,8.15389071767693,-3.60261637314291,3.30292647695982e-27,5.06672877166208e-25
"4758","12",48219635,48220035,401,"*",7.04434829480952,3.99956986164425,7.95417527676194,-3.95460541511769,3.62192117946234e-27,5.52299861758728e-25
"9602","2",11710230,11710630,401,"*",7.96639119964952,5.63784277514355,8.8151218265892,-3.17727905144565,3.7436491632743e-27,5.67484048903911e-25
"11204","2",175600059,175600459,401,"*",7.27997974135146,4.16242784178657,8.19437679180958,-4.03194895002301,4.09412429649624e-27,6.16960448397886e-25
"19362","6",98787534,98787934,401,"*",6.72155031488666,2.99137948264053,7.66614338091296,-4.67476389827243,4.388972884268e-27,6.57524604381156e-25
"9748","2",27622902,27623302,401,"*",7.40639386456528,4.68599512156975,8.29256750203967,-3.60657238046992,4.8365876745522e-27,7.20370366550455e-25
"21241","7",84277614,84278014,401,"*",7.96526136904993,5.75407807497313,8.80041167018946,-3.04633359521633,5.16644773255684e-27,7.65052358454573e-25
"12791","21",34559167,34559567,401,"*",7.00922740253946,3.97956714170217,7.9180738350015,-3.93850669329933,5.51491053286193e-27,8.119596438555e-25
"14463","3",159733238,159733638,401,"*",6.71573193173517,3.2232330104169,7.65017362144422,-4.42694061102732,6.14011093373248e-27,8.94652152893121e-25
"6734","15",30065217,30065617,401,"*",6.95004500897014,3.18859669720821,7.89584896891298,-4.70725227170476,6.14641185530445e-27,8.94652152893121e-25
"8861","18",42330313,42330713,401,"*",8.09884531406463,5.81725089382831,8.94229029453999,-3.12503940071168,6.57620999655408e-27,9.51804224247019e-25
"24528","9",115672939,115673339,401,"*",7.11095995852356,4.15468051910907,8.01488819652341,-3.86020767741434,7.15259469570776e-27,1.02941107255417e-24
"8510","17",80984701,80985101,401,"*",7.33749923251267,3.99348752949435,8.26465163486536,-4.271164105371,7.36158335781186e-27,1.05357006961131e-24
"1103","1",119594353,119594753,401,"*",8.20525208181695,6.23660940320942,9.00807122643264,-2.77146182322322,7.76569147189146e-27,1.10523046737175e-24
"12106","20",8693767,8694167,401,"*",6.92528209278849,3.87157956682423,7.83568276880578,-3.96410320198154,9.47921724572985e-27,1.34164965414976e-24
"16594","5",14743555,14743955,401,"*",7.01801812770763,3.81279898986948,7.93760544738765,-4.12480645751816,9.6827641250734e-27,1.36292885360511e-24
"15175","4",21979186,21979586,401,"*",6.40275419090989,1.60713661177096,7.37654468976351,-5.76940807799255,1.01848483772281e-26,1.4257674629936e-24
"14148","3",125063073,125063473,401,"*",7.43114099601438,4.45415621228491,8.33648411021469,-3.88232789792977,1.15575635769824e-26,1.60913947671269e-24
"18330","5",167814825,167815225,401,"*",7.90942065456241,5.82889683855589,8.7279206787513,-2.89902384019541,1.37735633633856e-26,1.90730349320655e-24
"20220","6",155493589,155493989,401,"*",6.71239921395102,3.31720078174512,7.64215378561814,-4.32495300387302,1.39044326926151e-26,1.91507396085706e-24
"21337","7",94183409,94183809,401,"*",8.19904478374361,6.17933466770457,9.00919358267176,-2.82985891496719,1.45441789338409e-26,1.99247473757827e-24
"3356","11",12540940,12541340,401,"*",7.11781583666305,4.38980195644962,8.00461285253166,-3.61481089608204,1.67090924288319e-26,2.276880477882e-24
