Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 04_filtered | TEAD1-1_filtered_flagstat.txt	3951266	0	0	0	0	0	0	0	3951266	0	100.0	nan	3951266	0	1975633	0	1975633	0	3951266	0	100.0	nan	3951266	0	0	0	0.0	nan	0	0	0	0	3951266
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 04_filtered | TEAD1-2_filtered_flagstat.txt	2335612	0	0	0	0	0	0	0	2335612	0	100.0	nan	2335612	0	1167806	0	1167806	0	2335612	0	100.0	nan	2335612	0	0	0	0.0	nan	0	0	0	0	2335612
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 04_filtered | TEAD1-3_filtered_flagstat.txt	2760848	0	0	0	0	0	0	0	2760848	0	100.0	nan	2760848	0	1380424	0	1380424	0	2760848	0	100.0	nan	2760848	0	0	0	0.0	nan	0	0	0	0	2760848
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 04_filtered | TES-1_filtered_flagstat.txt	28016836	0	0	0	0	0	0	0	28016836	0	100.0	nan	28016836	0	14008418	0	14008418	0	28016836	0	100.0	nan	28016836	0	0	0	0.0	nan	0	0	0	0	28016836
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 04_filtered | TES-2_filtered_flagstat.txt	5709934	0	0	0	0	0	0	0	5709934	0	100.0	nan	5709934	0	2854967	0	2854967	0	5709934	0	100.0	nan	5709934	0	0	0	0.0	nan	0	0	0	0	5709934
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 04_filtered | TES-3_filtered_flagstat.txt	33780698	0	0	0	0	0	0	0	33780698	0	100.0	nan	33780698	0	16890349	0	16890349	0	33780698	0	100.0	nan	33780698	0	0	0	0.0	nan	0	0	0	0	33780698
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-1_filtered_flagstat.txt	16110684	0	0	0	0	0	0	0	16110684	0	100.0	nan	16110684	0	8055342	0	8055342	0	16110684	0	100.0	nan	16110684	0	0	0	0.0	nan	0	0	0	0	16110684
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-1_flagstat.txt	136873278	0	0	0	0	0	0	0	76173562	0	55.65	nan	136873278	0	68436639	0	68436639	0	76173562	0	55.65	nan	76173562	0	0	0	0.0	nan	0	0	0	0	136873278
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-2_filtered_flagstat.txt	12535344	0	0	0	0	0	0	0	12535344	0	100.0	nan	12535344	0	6267672	0	6267672	0	12535344	0	100.0	nan	12535344	0	0	0	0.0	nan	0	0	0	0	12535344
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-2_flagstat.txt	133196358	0	0	0	0	0	0	0	65112710	0	48.88	nan	133196358	0	66598179	0	66598179	0	65112710	0	48.88	nan	65112710	0	0	0	0.0	nan	0	0	0	0	133196358
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-3_filtered_flagstat.txt	21252378	0	0	0	0	0	0	0	21252378	0	100.0	nan	21252378	0	10626189	0	10626189	0	21252378	0	100.0	nan	21252378	0	0	0	0.0	nan	0	0	0	0	21252378
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-3_flagstat.txt	182444748	0	0	0	0	0	0	0	112123860	0	61.46	nan	182444748	0	91222374	0	91222374	0	112123860	0	61.46	nan	112123860	0	0	0	0.0	nan	0	0	0	0	182444748
