"","seqnames","start","end","width","strand","Conc","Conc_TES","Conc_TESmut","Fold","p.value","FDR"
"2279","10",18559501,18559901,401,"*",7.2281955233116,4.2619524089323,8.13280732587568,-3.87085491694337,6.73488433923822e-47,6.1614570440688e-44
"9300","19",28221713,28222113,401,"*",7.34929034751799,4.45500654653402,8.24884995915301,-3.79384341261899,1.47707303825685e-46,1.30471389475819e-43
"7302","15",87764830,87765230,401,"*",7.46249723472392,4.54263779040881,8.3638834617291,-3.82124567132029,2.13181616675467e-46,1.82028676425292e-43
"5046","12",79547230,79547630,401,"*",7.97424578522074,6.04374300411476,8.77139349416009,-2.72765049004532,5.33820814452597e-46,4.41108193000572e-43
"12901","21",43586021,43586421,401,"*",7.42607370035474,4.89060928571283,8.29595762988789,-3.40534834417506,5.81044736265496e-46,4.65126311380529e-43
"8601","18",8890885,8891285,401,"*",8.0495994871064,5.99606483681919,8.86444259316345,-2.86837775634426,4.59077585620243e-45,3.56355497977216e-42
"24454","9",109345614,109346014,401,"*",7.47666489809098,4.86447001946838,8.3535843854987,-3.48911436603032,3.26984866038996e-44,2.46354244954556e-41
"16684","5",33091822,33092222,401,"*",7.0691828103033,3.56587669343767,8.00412496089574,-4.43824826745807,4.6732855844687e-44,3.42031095805001e-41
"21962","8",6594081,6594481,401,"*",7.29643168736054,4.75456422982314,8.16691848217394,-3.4123542523508,1.41080332071244e-43,1.00386494064916e-40
"5682","13",44815702,44816102,401,"*",7.10641997833543,4.24123044126923,8.00385902135918,-3.76262858008995,6.94441986645648e-43,4.8077907918689e-40
"5835","13",72291301,72291701,401,"*",6.96251956727541,3.55096780445327,7.89308525770096,-4.34211745324769,7.48058345808621e-43,5.0427006805878e-40
"23361","8",128183167,128183567,401,"*",7.76250439059976,5.46955070318827,8.60724570225529,-3.13769499906701,3.2661074589148e-42,2.14524637609132e-39
"18925","6",44667222,44667622,401,"*",8.36679815808855,6.85151401660046,9.08941494906085,-2.23790093246038,1.22661807216069e-41,7.85526213411707e-39
"11692","2",221779737,221780137,401,"*",7.25902974801573,4.22043566724625,8.16845694107848,-3.94802127383224,1.30532958955734e-41,8.15544457709776e-39
"9183","19",11982480,11982880,401,"*",6.85636766697775,3.50411973593293,7.78394535108484,-4.27982561515191,1.34524236369839e-41,8.20469723535664e-39
"13934","3",106728388,106728788,401,"*",7.23450506675206,4.11671066481097,8.14891694033251,-4.03220627552154,1.43544581175624e-41,8.55125114277855e-39
"25153","X",67605262,67605662,401,"*",7.40071922030941,4.4674782123991,8.30304743003251,-3.8355692176334,1.54768642917335e-41,9.01034899311464e-39
"4003","11",103633393,103633793,401,"*",7.78037457994524,5.52513665183568,8.62076752623667,-3.09563087440099,1.74063963897961e-41,9.90849444268928e-39
"15452","4",49150513,49150913,401,"*",7.26606813203677,4.37887244083349,8.16511533768486,-3.78624289685138,3.20398131742074e-41,1.78419968319673e-38
"17073","5",66454525,66454925,401,"*",7.16480861591812,4.36623953668231,8.05721535656428,-3.69097581988197,4.45886608554255e-41,2.43017688611187e-38
"8730","18",22551782,22552182,401,"*",8.12431473833271,4.08886265393281,9.07964028535479,-4.99077763142198,1.17226326426852e-39,6.25597828697965e-37
"9306","19",28313686,28314086,401,"*",7.5975422880062,5.59443661903479,8.40534033180533,-2.81090371277053,1.76931431905405e-39,9.2495419585487e-37
"15437","4",49105497,49105897,401,"*",6.88654075506699,3.88934748053738,7.79324404135343,-3.90389656081605,4.50457920366126e-39,2.30778601761974e-36
"2280","10",18562647,18563047,401,"*",6.65553829625308,3.10262554005153,7.59272800255822,-4.49010246250669,4.90052749990741e-39,2.43164638284904e-36
"788","1",96915760,96916160,401,"*",7.2797689617705,4.34515901164604,8.18219301071476,-3.83703399906872,4.93619659229193e-39,2.43164638284904e-36
"7250","15",83733281,83733681,401,"*",6.76324667906622,3.54392883545582,7.68363798277491,-4.13970914731908,5.63628924709795e-38,2.72413557271059e-35
"3628","11",47104299,47104699,401,"*",7.64097521849891,5.72952369084774,8.43522474486001,-2.70570105401227,8.79316057821252e-38,4.17121484021281e-35
"24790","X",13398453,13398853,401,"*",7.78994380022923,5.83761824022631,8.59035763737466,-2.75273939714835,1.7484758128827e-37,8.14344662232786e-35
"15442","4",49119082,49119482,401,"*",7.15094382209128,4.48678602824251,8.03240151810314,-3.54561548986064,2.26656818008101e-37,1.03679304465991e-34
"969","1",115166726,115167126,401,"*",6.88224025111564,4.00401761059514,7.78063490204833,-3.77661729145319,2.97294677852051e-37,1.33605271365932e-34
"24546","9",118643127,118643527,401,"*",6.94089100429907,3.75513619681535,7.85935462215094,-4.10421842533559,3.2482648284012e-37,1.43461296283319e-34
"8464","17",71649989,71650389,401,"*",6.91956364467692,4.28954812160197,7.79805957594597,-3.50851145434401,1.01357737381004e-36,4.40064373008779e-34
"1363","1",172917959,172918359,401,"*",7.21635534005561,4.16168342698744,8.12681810698268,-3.96513467999524,1.36123411877595e-36,5.81156219776077e-34
"879","1",103265586,103265986,401,"*",7.41427579098191,4.91448224984226,8.28074704207322,-3.36626479223096,1.58864943820037e-36,6.67128590310503e-34
"23620","9",3751151,3751551,401,"*",6.94939177064212,4.42451013138709,7.81827285854235,-3.39376272715526,5.38634372511491e-36,2.22542872358941e-33
"8045","17",26812922,26813322,401,"*",6.79850485652437,3.89489058410409,7.69873487493117,-3.80384429082708,6.61202285308552e-36,2.68846948261331e-33
"19950","6",141451454,141451854,401,"*",7.99037858784559,6.16489886440227,8.77098495176662,-2.60608608736435,6.79386364559884e-36,2.71924392415094e-33
"341","1",54934880,54935280,401,"*",6.82088224545949,3.53685535458274,7.74485901280903,-4.20800365822629,7.99487305464081e-36,3.15071797181045e-33
"24191","9",82332109,82332509,401,"*",7.00827862398895,3.75761898777348,7.93042774498586,-4.17280875721238,5.5036132033697e-35,2.13606902753816e-32
"12315","20",25372580,25372980,401,"*",8.39080364932764,7.03689463848974,9.07676122698109,-2.03986658849135,5.63621515105657e-35,2.1548848852159e-32
"10072","2",48548808,48549208,401,"*",6.93016116530857,4.36813694462703,7.80252678638267,-3.43438984175564,1.96284082006558e-34,7.39413683041173e-32
"188","1",29974326,29974726,401,"*",7.12218075404533,4.59424325424188,7.99135224793544,-3.39710899369356,2.23038090611226e-34,8.28020830303938e-32
"9321","19",31560047,31560447,401,"*",6.59199811891801,3.56902207204471,7.5004075186816,-3.93138544663689,3.34163416944812e-34,1.22284715549404e-31
"13450","3",44048319,44048719,401,"*",7.18187213062229,4.76629181954553,8.03990926703971,-3.27361744749417,8.20288607948822e-34,2.95950887059395e-31
"19926","6",140537811,140538211,401,"*",7.55641205106821,5.39519142381086,8.38539530094201,-2.99020387713115,8.40398105319434e-34,2.98994970359203e-31
"7384","15",97968350,97968750,401,"*",7.23673912725415,4.86067061051034,8.09062811219908,-3.22995750168874,9.20572971617886e-34,3.23032838917312e-31
"24322","9",94912868,94913268,401,"*",7.69182936928811,5.69742714969945,8.49838283242657,-2.80095568272713,1.08301281176915e-33,3.74898056571332e-31
"21099","7",71633497,71633897,401,"*",7.44266187929223,5.3154125137911,8.26731255716183,-2.95190004337072,1.2143212938519e-33,4.14747390177469e-31
"15029","4",7805523,7805923,401,"*",7.20169802503433,5.11059905042424,8.02160990548698,-2.91101085506274,1.40134049174684e-33,4.72325500481408e-31
"6269","14",37122215,37122615,401,"*",6.40254609802316,2.64824692047407,7.34807568133908,-4.69982876086501,3.85081226475763e-33,1.28107022044197e-30
"12606","21",14686732,14687132,401,"*",7.07602444719283,4.39691131484301,7.95875570161995,-3.56184438677694,4.590949138858e-33,1.5077147838588e-30
"15441","4",49114587,49114987,401,"*",6.67503092583396,3.67689251904027,7.5817973297783,-3.90490481073802,2.37752412377124e-32,7.70919720943342e-30
"4221","11",121892235,121892635,401,"*",6.65412338581533,3.73461420265569,7.5554848306775,-3.82087062802181,3.23849972805696e-32,1.03696761292384e-29
"8511","17",83109749,83110149,401,"*",7.12038440184817,4.85525669514807,7.96192986590295,-3.10667317075488,3.57038233777776e-32,1.12912239462364e-29
"10399","2",89837690,89838090,401,"*",7.03903007492193,4.42190304376937,7.91638799233931,-3.49448494856995,5.51314525221496e-32,1.72225279000901e-29
"23910","9",37415018,37415418,401,"*",7.61425687005753,5.54827207043732,8.43079657369019,-2.88252450325287,8.43047531641155e-32,2.60186814102649e-29
"7001","15",57551695,57552095,401,"*",6.65744459912785,3.38335811322388,7.5808815488747,-4.19752343565082,8.71761652746499e-32,2.65845791628028e-29
"22735","8",81422456,81422856,401,"*",7.01541416471473,4.84736363055677,7.84525468352576,-2.99789105296899,9.58830421189567e-32,2.88957647872846e-29
"22214","8",38660029,38660429,401,"*",6.6153216218479,4.00482235891789,7.4920900047798,-3.4872676458619,1.06051181442828e-31,3.15884542306917e-29
"16457","5",1327165,1327565,401,"*",7.33001212536515,5.43966102277295,8.12099979640266,-2.68133877362971,1.20245076670272e-31,3.54045733791457e-29
"5822","13",67278347,67278747,401,"*",6.81125573875223,4.25068454271439,7.68348687986287,-3.43280233714848,1.23404540638037e-31,3.59219399202722e-29
"7892","17",694220,694620,401,"*",7.34991922727702,5.12063556269742,8.18724523651874,-3.06660967382132,1.61418102954759e-31,4.64593946661698e-29
"21802","7",137508741,137509141,401,"*",6.74518902565254,3.97339182444085,7.63550196573041,-3.66211014128956,1.75377132508648e-31,4.99162291815725e-29
"20821","7",41027365,41027765,401,"*",6.93373299221053,4.68396110273207,7.77348515049742,-3.08952404776535,2.96742023639599e-31,8.35312492038678e-29
"9088","18",73688896,73689296,401,"*",6.49687549097005,3.31888292273753,7.41488649152044,-4.09600356878291,4.73179980894474e-31,1.3174976511514e-28
"9092","18",74316793,74317193,401,"*",6.58186467896099,3.85745417143546,7.4683671648692,-3.61091299343373,5.42940617158804e-31,1.49548030635913e-28
"1121","1",121573857,121574257,401,"*",6.96983279474039,3.78824657544256,7.88805366202033,-4.09980708657777,1.23672273941855e-30,3.37020103116442e-28
"8057","17",26856961,26857361,401,"*",6.58174364386021,3.60281300776666,7.48721861410477,-3.88440560633811,1.38954693261714e-30,3.74680360272849e-28
"21225","7",84025267,84025667,401,"*",7.60553915318967,5.78244705757061,8.38575298512462,-2.60330592755401,1.49185788162596e-30,3.98077411413859e-28
"14139","3",124774301,124774701,401,"*",6.75202791797818,3.46128241506078,7.67636732790888,-4.2150849128481,1.78909453425886e-30,4.72468511232732e-28
"6999","15",57356639,57357039,401,"*",6.2835977570999,2.33917074762568,7.2359652569002,-4.89679450927452,3.33047473963387e-30,8.70545315616951e-28
"21220","7",83446181,83446581,401,"*",6.94895680541912,7.82591233362265,4.33635717498704,3.48955515863561,3.91818022343137e-30,1.01381923841836e-27
"14682","3",177906101,177906501,401,"*",6.92609346143045,4.59215817497886,7.77541835254074,-3.18326017756188,8.99306877425293e-30,2.29317651261186e-27
"19155","6",71478805,71479205,401,"*",7.41039958474637,5.3972719049183,8.21962017616866,-2.82234827125036,9.04164693058237e-30,2.29317651261186e-27
"8048","17",26820953,26821353,401,"*",6.61911597370564,4.01988267482785,7.49487546425859,-3.47499278943075,9.15284463409853e-30,2.29862027595165e-27
"5646","13",42106105,42106505,401,"*",6.59347016337121,3.49718979984931,7.50655663199688,-4.00936683214758,9.72896518017834e-30,2.41958419471309e-27
"7349","15",92510209,92510609,401,"*",6.9360407085819,4.34285066214989,7.81125546376127,-3.46840480161138,1.18554220155164e-29,2.92008163797566e-27
"12173","20",11352088,11352488,401,"*",6.17247737660375,2.31945692753846,7.12167382533241,-4.80221689779396,1.54817861495622e-29,3.77696603816368e-27
"24029","9",72485814,72486214,401,"*",6.86007096728246,4.66330302922956,7.69346648625552,-3.03016345702595,2.30210369311823e-29,5.56327247197327e-27
"25506","X",141468969,141469369,401,"*",6.36032400182013,2.87793439580103,7.29429398344607,-4.41635958764505,3.44915469037803e-29,8.25734079894613e-27
"2587","10",58963800,58964200,401,"*",6.65591855869645,3.98583407127628,7.53788267124811,-3.55204859997183,3.67650386127002e-29,8.72012249169379e-27
"7240","15",82159944,82160344,401,"*",8.24011126412814,6.6113657675558,8.98567623868713,-2.37431047113133,5.86695009222416e-29,1.37878709690288e-26
"16975","5",57825119,57825519,401,"*",6.73030438520928,4.05439627311393,7.61276391302723,-3.5583676399133,6.60396895423398e-29,1.53788426119689e-26
"12771","21",33849819,33850219,401,"*",7.31856147761641,4.93663696672671,8.17307320962466,-3.23643624289795,9.46349589771467e-29,2.18393613437711e-26
"6765","15",33985331,33985731,401,"*",7.12570925815357,4.57726779306025,7.99681197734406,-3.41954418428381,1.22221385803043e-28,2.79537769529531e-26
"19690","6",126233292,126233692,401,"*",6.38126910920585,7.29303224964716,3.30613441561529,3.98689783403187,1.54608221520061e-28,3.5048178782813e-26
"11889","2",234139761,234140161,401,"*",6.4637861501926,3.48202599345555,7.36945251766348,-3.88742652420793,1.96791344578205e-28,4.42193603746957e-26
"8460","17",71548500,71548900,401,"*",6.9441543528285,4.69446501195246,7.78389681307031,-3.08943180111785,3.13437989532098e-28,6.9817630781341e-26
"19834","6",134060404,134060804,401,"*",7.44703597701139,5.80388790762759,8.19536229052526,-2.39147438289767,3.52012069793553e-28,7.77339756882039e-26
"24425","9",106892663,106893063,401,"*",6.16630141677387,3.03307133156733,7.08165138873196,-4.04858005716462,3.9588334569608e-28,8.66747673790665e-26
"16494","5",5069863,5070263,401,"*",6.81116872339097,4.72588477722095,7.63030570961018,-2.90442093238923,4.13791082011028e-28,8.98277318372415e-26
"2475","10",38402710,38403433,724,"*",7.65961152968924,5.98021913124655,8.41474343507434,-2.43452430382779,4.32493558643021e-28,9.30987814974758e-26
"10242","2",67917405,67917805,401,"*",7.03861320534726,4.5691060031468,7.90211338058218,-3.33300737743538,4.81331451455307e-28,1.02748220503993e-25
"22423","8",58856396,58856796,401,"*",6.53169046924034,3.76340666476318,7.42172550650225,-3.65831884173907,5.35583006950749e-28,1.13384250463226e-25
"463","1",65469932,65470332,401,"*",6.64436248500641,3.95916306046154,7.5276079460302,-3.56844488556866,5.48919162617472e-28,1.15255026800075e-25
"8695","18",14470120,14470520,401,"*",6.13495730756218,2.96838947156978,7.0522974235534,-4.08390795198362,6.44679556238799e-28,1.34261069208236e-25
"10050","2",47076810,47077210,401,"*",6.85966921377824,4.47573746271909,7.71439376010006,-3.23865629738096,6.81197960479519e-28,1.40722314158414e-25
"15432","4",49096895,49097295,401,"*",6.21193178184607,3.34891539474912,7.10921058267521,-3.76029518792609,7.01044764279624e-28,1.43663701454295e-25
"5619","13",40271983,40272383,401,"*",7.39729571610707,5.20895635350012,8.22965607115344,-3.02069971765332,7.06765782839046e-28,1.43686605501627e-25
"304","1",47569866,47570266,401,"*",6.45719792891166,3.6210134574679,7.35247670254888,-3.73146324508098,1.02271837422701e-27,2.06283101371646e-25
"8393","17",66467006,66467406,401,"*",6.60719991675306,4.02574786469495,7.4813494790046,-3.45560161430965,1.09582072877339e-27,2.19301123345774e-25
"6840","15",39213425,39213825,401,"*",7.74005578864683,6.0104397101898,8.50428966613291,-2.49384995594311,1.22690123547681e-27,2.43630248433906e-25
"20968","7",55623142,55623542,401,"*",7.1035474034303,4.68206824594936,7.96219313834159,-3.28012489239223,1.33112625793621e-27,2.62293309409953e-25
"8859","18",42330313,42330713,401,"*",7.65152243426071,5.81725089382831,8.43356769394536,-2.61631680011705,1.46978102485566e-27,2.87403898722921e-25
"25095","X",45961495,45961895,401,"*",6.13775866050381,2.04918382179968,7.09472362212817,-5.04553980032849,1.86735311577882e-27,3.623796773772e-25
"9448","19",43962495,43962895,401,"*",6.65244946995784,3.97458619208674,7.5350748376582,-3.56048864557146,2.0989788978158e-27,4.04266492078568e-25
"13685","3",72487377,72487777,401,"*",6.48702519419578,3.75428734016033,7.37420713159254,-3.61991979143221,2.17128033623956e-27,4.1507102308293e-25
"23191","8",121089289,121089689,401,"*",7.88233669364392,6.17629012156435,8.64234568514727,-2.46605556358292,2.9424783823051e-27,5.58329824008352e-25
"8012","17",19327025,19327425,401,"*",6.4388565724053,3.96802342523322,7.30248826132619,-3.33446483609297,3.04309047696953e-27,5.73175041603319e-25
"20811","7",39428263,39428663,401,"*",6.62279083565266,4.23122534716849,7.47832175253628,-3.24709640536779,3.35198314622495e-27,6.26747447253272e-25
"8056","17",26849702,26850102,401,"*",6.62420022915426,4.08972391495876,7.49399086508294,-3.40426695012418,4.06034996853914e-27,7.53695107203613e-25
"8421","17",69762002,69762402,401,"*",6.66132211388079,3.82524406911932,7.55659287469806,-3.73134880557873,4.77777717739684e-27,8.80485900548182e-25
"8106","17",31269657,31270057,401,"*",7.81924337670584,6.30350803486103,8.54195580156808,-2.23844776670705,4.8773262077795e-27,8.92411343846284e-25
"23911","9",37472366,37472766,401,"*",6.90606641895549,4.76780309470733,7.7321344005678,-2.96433130586047,5.35581078402394e-27,9.73010276904661e-25
"20239","6",157089263,157089663,401,"*",7.49388678244914,5.80692845527778,8.25041392840333,-2.44348547312556,5.50264859195436e-27,9.92646805151428e-25
"24251","9",87280481,87280881,401,"*",6.40290963848723,3.48937277785839,7.30384752858741,-3.81447475072902,6.87669096894941e-27,1.2318413696546e-24
"18860","6",35425242,35425642,401,"*",7.94054987747418,6.56101084553966,8.63267209542241,-2.07166124988275,8.37656845782404e-27,1.49009845566403e-24
"8809","18",29181576,29181976,401,"*",6.90646009060785,4.25648583914785,7.78669663815309,-3.53021079900523,8.44991463001224e-27,1.49277940111995e-24
"23867","9",32502502,32502902,401,"*",6.46269589818756,3.84761754814095,7.33987190192999,-3.49225435378904,9.97997356243091e-27,1.75100686832349e-24
"19515","6",112877423,112877823,401,"*",6.90137431570101,4.70332535198874,7.7349265716076,-3.03160121961886,1.00565577518936e-26,1.75244070321433e-24
"23871","9",32742225,32742625,401,"*",6.52998493505894,4.19961948343719,7.37891628698435,-3.17929680354717,1.02285908887259e-26,1.77037556895678e-24
"5459","13",27403167,27403567,401,"*",6.75692817130092,4.40311843333288,7.60842438089165,-3.20530594755877,1.24583557477007e-26,2.14183383109463e-24
"15034","4",7861393,7861793,401,"*",6.94558876599285,4.59470052500943,7.79676787303096,-3.20206734802154,2.1407201865731e-26,3.65577921995043e-24
"24410","9",106076006,106076406,401,"*",6.94049894975428,4.82187714048314,7.76403084697134,-2.9421537064882,3.62408993137294e-26,6.14799256172512e-24
"8046","17",26816908,26817308,401,"*",6.72077459622029,4.64354476119176,7.53883244927005,-2.8952876880783,4.30476983014033e-26,7.25466999795228e-24
"2080","1",244164018,244164418,401,"*",6.45675242916967,3.53218960871519,7.35847081241205,-3.82628120369686,5.28526157254291e-26,8.84884055178165e-24
"1876","1",223674394,223674794,401,"*",7.02788780074591,5.02396860133839,7.83580174031529,-2.8118331389769,6.0740438287892e-26,1.0103422514173e-23
"3504","11",33557316,33557716,401,"*",6.88159737419536,4.55406628684578,7.73021549436029,-3.17614920751451,7.78316732313078e-26,1.2862813816085e-23
"6125","14",22614206,22614606,401,"*",6.53733572758104,3.80439764941758,7.42453394966362,-3.62013630024603,8.18682972138737e-26,1.34431942399397e-23
"11068","2",163778290,163778690,401,"*",6.32295095300878,3.76051115891065,7.19535500892186,-3.43484385001121,9.87864717530802e-26,1.61179252256491e-23
"3433","11",19935479,19935879,401,"*",7.29360795201456,5.66631924306479,8.03889178881781,-2.37257254575302,9.95250689877515e-26,1.61356592860142e-23
"4951","12",70393738,70394138,401,"*",6.96983295672538,4.7457507565685,7.80653686496445,-3.06078610839595,1.33776977135241e-25,2.1552396517587e-23
"1263","1",168301684,168302084,401,"*",6.79705221510758,4.5265725981382,7.63921770300778,-3.11264510486958,1.66310685328216e-25,2.66263407210475e-23
"15601","4",73661566,73661966,401,"*",7.22436924818028,5.19768263860275,8.03549656291627,-2.83781392431352,1.69463877678879e-25,2.69626502523116e-23
"17137","5",68924460,68924860,401,"*",6.48784518923926,3.98359669741967,7.35474772194474,-3.37115102452507,1.76215226565856e-25,2.78637607636479e-23
"17886","5",125277454,125277854,401,"*",7.03095141282467,5.11950604746645,7.82519999458948,-2.70569394712303,2.66606073008168e-25,4.18980439642775e-23
"3481","11",28836258,28836658,401,"*",7.83656215749361,6.35402502325876,8.55214023074377,-2.19811520748501,3.56353041478039e-25,5.56606067713503e-23
"24270","9",88397199,88397599,401,"*",6.40635223568207,3.59539466230908,7.29971378651447,-3.70431912420538,5.69304034581747e-25,8.83835887869456e-23
"24848","X",16160697,16161097,401,"*",6.34347444381701,4.00854223669655,7.19290904266186,-3.18436680596532,6.2644248907334e-25,9.66683783138716e-23
"12576","20",61186176,61186576,401,"*",6.53402769002731,4.04874217658071,7.3990842549095,-3.35034207832879,6.46323961211239e-25,9.91391292837551e-23
"15547","4",57074747,57075147,401,"*",7.44912101214312,8.21120525815358,5.73155388728714,2.47965137086643,6.80403106965117e-25,1.03745273738205e-22
"23531","8",135923242,135923642,401,"*",6.19170918353699,2.98831125646593,7.11119204091053,-4.12288078444461,7.0818636196973e-25,1.07342614486489e-22
"4643","12",31922673,31923073,401,"*",7.84978253000799,6.34739855766164,8.56964967355485,-2.22225111589321,9.40890267518067e-25,1.41775559369075e-22
"14927","3",191566517,191566917,401,"*",6.86439879447278,4.86485905116979,7.67168795358561,-2.80682890241582,9.87122345679023e-25,1.47872081911777e-22
"16912","5",56211464,56211864,401,"*",6.35874624870984,3.93026123485521,7.21811123867907,-3.28785000382385,1.04316150751808e-24,1.55358285910367e-22
"19767","6",131173732,131174132,401,"*",6.5055750778992,4.02838653015072,7.36983528545274,-3.34144875530201,1.98332578868556e-24,2.9366978845647e-22
"20878","7",46145377,46145777,401,"*",7.11401252687282,5.28973919054861,7.89442065227808,-2.60468146172947,2.20972518136531e-24,3.25312185320999e-22
"10559","2",119492107,119492507,401,"*",6.82744553633353,4.84691490965346,7.63199754632665,-2.78508263667319,2.35758806527705e-24,3.45097005029354e-22
"15155","4",20839915,20840315,401,"*",6.22858582608831,3.52260349179886,7.11356953359897,-3.59096604180011,2.89624033876379e-24,4.21534616578257e-22
"16758","5",36646526,36646926,401,"*",6.64314113921006,4.24044850960146,7.4998390290599,-3.25939051945844,2.96512476579516e-24,4.29122237291576e-22
"13503","3",54356321,54356721,401,"*",6.14726037871033,3.5825025964208,7.01987859499411,-3.43737599857331,3.05175595568013e-24,4.39178542475855e-22
"21335","7",94183409,94183809,401,"*",7.61032595433049,6.17933466770457,8.31442239596435,-2.13508772825977,3.55989343874733e-24,5.09442627524869e-22
"4438","12",13526300,13526700,401,"*",6.83534862354554,4.95192733703099,7.62525295448942,-2.67332561745843,3.85085976002175e-24,5.48020131181761e-22
"15580","4",66636279,66636679,401,"*",7.90462648551994,8.59491981609795,6.53275029801186,2.06216951808609,3.95914806049375e-24,5.60317882417723e-22
"622","1",85527187,85527587,401,"*",6.17457752477626,3.61933518664245,7.04631420219283,-3.42697901555037,4.64196973876227e-24,6.53344488066672e-22
"11835","2",228731520,228731920,401,"*",6.03719899746704,3.19800264693255,6.93270427090425,-3.7347016239717,5.41861685973503e-24,7.58487920650124e-22
"25481","X",140132961,140133361,401,"*",6.61761885687269,4.48661935363963,7.44275348373231,-2.95613413009268,6.30643043052717e-24,8.77964792980348e-22
"20907","7",47379899,47380299,401,"*",6.86673734237691,4.84352315665376,7.67737829293835,-2.83385513628459,8.18990002632022e-24,1.13401340040118e-21
"13124","3",8869722,8870122,401,"*",6.5840700123814,4.30410819882144,7.42732774152735,-3.12321954270591,9.60706002571606e-24,1.32308843881044e-21
"16662","5",32223958,32224358,401,"*",7.77541113394998,6.06034093015851,8.53704725545085,-2.47670632529235,1.06190029132404e-23,1.45463304077843e-21
"5914","13",85497650,85498050,401,"*",6.21528601160366,3.26175762401585,7.11902462130265,-3.8572669972868,1.18434285941038e-23,1.61373014290725e-21
