"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","131/4047","352/18986",0.372159090909091,1.74593834939461,7.35245475536889,4.40957810424159e-12,2.5427230832004e-09,1.85371068056778e-09,"2475/55160/4070/163782/1901/6281/50848/5999/27/10092/6840/8829/6387/120/23075/9873/5058/5962/85458/83700/2059/93661/11113/54509/10810/5587/1073/382/51466/342184/29767/29766/84952/7168/4088/11214/23406/246/57551/85464/3690/406991/54828/6093/4089/7040/2909/9475/375189/10602/130271/5581/6711/55704/27302/7840/6869/1496/8440/3552/23332/390/129446/140469/10787/23671/10152/25791/8195/51126/57580/4771/859/406929/11170/2042/90102/4690/5217/26084/5290/5062/1739/118/683/9353/22998/5156/57482/2044/171024/27236/9037/5734/5295/10788/2150/5921/1946/2241/11346/26999/4739/1906/55604/23607/93663/1490/51429/5071/5879/5898/55971/4233/136319/673/10395/2185/10565/27067/9788/51571/23189/25/395/7114/2824/5063/154796/10178/90167",131
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","94/4047","227/18986",0.414096916299559,1.94268447068531,7.43679104335283,5.16910339549949e-12,2.73230190313777e-09,1.99191852775695e-09,"10207/57554/9826/27/23418/10806/55083/2625/55691/3688/56288/9886/9231/9124/8729/57698/22841/7465/55742/154810/9183/56253/9638/83700/144165/5908/81624/10253/382/57381/64398/3480/23322/1003/399687/10403/23255/6093/115701/23094/2909/9475/10890/51057/23332/117583/84612/4627/4134/7474/23150/90102/2932/51421/5584/1739/3064/10252/2195/64083/55914/4131/1495/23286/54908/1794/10486/9750/667/10758/2697/9053/10090/3834/9265/5879/358/6469/79648/286/4342/137886/10565/51571/5747/81704/23189/7010/9355/25/4478/4983/154796/2258",94
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","164/4047","472/18986",0.347457627118644,1.6300544868976,7.21456445301803,6.88587918250057e-12,3.14978994815579e-09,2.29627807566541e-09,"1647/23566/8412/5906/26191/4853/1942/5788/25778/7042/55532/8829/22943/59/153/85363/6764/960/7189/5795/5058/80310/1813/50937/55801/5908/3479/55504/2321/3146/9365/8600/3356/10253/652/57161/7057/2252/388121/5151/8826/3480/146433/246/6416/8844/57551/3690/9043/406991/2081/5578/5608/6093/1000/220164/4616/7040/9475/5581/9378/7039/3552/3553/2641/27347/8324/2066/2043/57007/146/9770/23236/6714/5770/55816/351/5155/152110/1499/6997/7474/10550/6091/5028/23043/9175/152831/5156/3791/255324/55024/255743/1950/8654/2247/55294/56034/9693/57630/3672/9607/2149/2150/8622/4208/9867/2246/153769/154/3340/147/23286/8817/1812/8737/2651/1906/222643/7162/6885/7164/1490/4217/23328/9590/4988/4216/3569/1687/10392/168667/387129/3624/3486/1956/948/10371/858/51384/28996/673/2146/9258/2185/3084/8754/9821/4986/4067/4342/6386/8767/6788/284/3717/7010/4915/25/4281/60401/367/10178/83550",164
"GO:0030010","GO:0030010","establishment of cell polarity","74/4047","164/18986",0.451219512195122,2.11684053830902,7.47637967348212,6.97074237936037e-12,3.14978994815579e-09,2.29627807566541e-09,"10207/9826/27/23418/10806/55083/2625/55691/3688/56288/9886/8729/57698/22841/7465/154810/9183/56253/9638/83700/144165/5908/81624/10253/382/57381/3480/1003/399687/10403/6093/115701/23094/9475/10890/51057/23332/117583/4627/4134/7474/23150/90102/2932/51421/5584/3064/10252/2195/64083/4131/23286/54908/1794/9750/10758/2697/10090/3834/9265/6469/79648/4342/137886/10565/51571/5747/81704/23189/25/4478/4983/154796/2258",74
"GO:0001654","GO:0001654","eye development","147/4047","411/18986",0.357664233576642,1.67793751882534,7.23198153457119,7.44865981748966e-12,3.14978994815579e-09,2.29627807566541e-09,"2782/10218/65979/84879/4774/6121/8412/118427/7482/4853/5087/356/23418/7042/2625/7431/8829/5954/24147/25987/65084/120114/4544/1410/1813/50937/81029/7289/8076/144165/56890/246213/51761/2321/145173/341640/10253/84189/652/3091/57381/23093/4212/161742/2200/8854/4088/49855/23322/170692/4094/6774/6662/8736/80714/23094/7040/56006/2909/7837/6654/2202/51057/200734/4211/10461/6670/4760/1290/10152/182/631/30813/1826/1415/4771/3985/9215/7068/5915/7048/1499/7474/56999/4286/1295/50939/25945/55764/8419/5523/5584/86/1739/57545/8842/5156/3791/658/5308/2247/10252/23657/2823/55714/2195/25836/348980/4124/2201/285590/654/84062/6659/5961/221391/7021/639/3066/221322/2697/10370/100126572/221935/7291/340273/358/3624/2737/1956/51384/28996/6469/6101/55636/27067/79977/22882/4781/4915/23287/9314/9355/5090/4810/6247/4693",147
"GO:0048880","GO:0048880","sensory system development","149/4047","422/18986",0.353080568720379,1.65643382202251,7.09778000666124,1.63484292862038e-11,6.36055446240881e-09,4.6370081819763e-09,"2782/10218/65979/84879/4774/6121/8412/118427/7482/4853/5087/356/23418/7042/2625/7431/8829/5954/24147/25987/65084/120114/4544/1410/1813/50937/81029/7289/8076/144165/56890/246213/51761/2321/145173/341640/10253/84189/652/3091/57381/23093/4212/161742/2200/8854/4088/49855/23322/170692/4094/6774/6662/8736/80714/23094/7040/56006/2909/7837/6654/2202/51057/200734/4211/10461/6670/4760/1290/10152/182/631/30813/1826/1415/4771/3985/9215/7068/5915/7048/1499/7474/56999/4286/1295/50939/25945/55764/8419/5523/5584/86/1739/57545/8842/8929/5156/3791/658/5308/2247/10252/23657/2823/55714/2195/25836/348980/4124/2201/285590/654/84062/6659/5961/221391/7021/639/3066/221322/2697/10370/100126572/221935/7291/340273/358/3624/2737/1956/10371/51384/28996/6469/6101/55636/27067/79977/22882/4781/4915/23287/9314/9355/5090/4810/6247/4693",149
"GO:0150063","GO:0150063","visual system development","147/4047","415/18986",0.35421686746988,1.66176462707762,7.09448854817246,1.70470480625808e-11,6.36055446240881e-09,4.6370081819763e-09,"2782/10218/65979/84879/4774/6121/8412/118427/7482/4853/5087/356/23418/7042/2625/7431/8829/5954/24147/25987/65084/120114/4544/1410/1813/50937/81029/7289/8076/144165/56890/246213/51761/2321/145173/341640/10253/84189/652/3091/57381/23093/4212/161742/2200/8854/4088/49855/23322/170692/4094/6774/6662/8736/80714/23094/7040/56006/2909/7837/6654/2202/51057/200734/4211/10461/6670/4760/1290/10152/182/631/30813/1826/1415/4771/3985/9215/7068/5915/7048/1499/7474/56999/4286/1295/50939/25945/55764/8419/5523/5584/86/1739/57545/8842/5156/3791/658/5308/2247/10252/23657/2823/55714/2195/25836/348980/4124/2201/285590/654/84062/6659/5961/221391/7021/639/3066/221322/2697/10370/100126572/221935/7291/340273/358/3624/2737/1956/51384/28996/6469/6101/55636/27067/79977/22882/4781/4915/23287/9314/9355/5090/4810/6247/4693",147
"GO:0009612","GO:0009612","response to mechanical stimulus","91/4047","222/18986",0.40990990990991,1.92304164802312,7.2002273788294,2.19160208863921e-11,7.72296224902141e-09,5.63023858210062e-09,"6513/1647/1301/50848/4921/5743/3776/7100/824/6387/5599/355/9531/3784/8048/8772/1813/54407/7846/374462/8738/51761/3356/8796/84189/4212/7057/3480/4313/114780/6416/50964/3690/3759/6662/63895/1000/8932/7040/6546/9378/6869/3553/7852/6335/6772/841/3485/5270/117532/8195/26090/6714/9215/859/1499/2596/5028/5290/3064/55584/441027/5311/4790/2247/6507/5734/4214/4131/84059/3659/654/1906/2729/2534/10370/2115/358/1956/5723/375611/136319/5764/26047/2185/5747/117531/3371/55342/51284/1756",91
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","128/4047","349/18986",0.36676217765043,1.72061939828788,7.07199262092536,2.45630140083695e-11,8.2001683081625e-09,5.97813410187075e-09,"10076/23499/55182/79971/79577/259266/219771/22943/80114/3087/6934/54764/55031/27122/406/25987/100422991/10413/85458/81029/5800/100287314/144165/11197/8549/26524/122011/2308/8796/51339/51527/9101/53944/4088/7090/79705/1001/51741/2300/64359/51701/6928/50964/64750/8313/6662/1000/4089/8932/115701/7040/245973/5495/9736/129293/9839/130574/79809/2487/8324/3485/6714/55959/351/7074/84133/83999/9686/27303/1499/8994/7474/2932/3836/5523/25937/79718/59343/3516/4790/27123/1950/2247/23240/7097/9037/1501/1601/55789/324/4163/1456/1452/10146/11063/100113407/6659/7162/2309/84870/5071/2737/23072/2887/1956/5218/8321/29969/857/6469/80139/6591/23213/6788/8323/340419/8840/23189/4300/8434/2776/7091/7088/25/6907/10159/139886/2719",128
"GO:0048638","GO:0048638","regulation of developmental growth","121/4047","325/18986",0.372307692307692,1.74663549447834,7.06633130474968,2.79762182752261e-11,8.87265762598796e-09,6.46839615174044e-09,"23499/84879/10269/23566/1435/5999/55811/3776/3142/11221/8829/219770/6387/983/8879/657/5728/7093/153/57698/627/10413/1813/57609/6857/8825/1848/8835/3479/26524/51761/23111/23077/9472/60485/51760/79068/999/10743/6928/6774/9043/10939/2627/6860/4092/23327/5802/50618/2355/57142/27302/7852/55777/2660/1385/4133/2066/2335/9962/23236/8195/1002/351/861/1826/859/9686/7474/27086/2932/5357/27230/5290/9175/3516/84525/6696/2247/80014/9037/10409/25836/4131/4208/1946/154/23286/8614/1906/3720/22999/1081/5454/10370/5071/10551/7784/10371/57154/4897/3475/91584/3084/55636/6788/23414/7373/100126316/158376/406987/10507/4593/2844/25/6792/170302/407007/367/2258/4534",121
"GO:0001667","GO:0001667","ameboidal-type cell migration","96/4047","241/18986",0.398340248962656,1.86876401453051,7.06445660493554,4.29532766150549e-11,1.29739349318711e-08,9.45833304109957e-09,"2475/65979/23499/4070/8394/4921/7042/11221/3688/8829/84159/8879/5728/59/9124/79899/154810/5801/4254/23603/1910/8660/382/652/3091/2530/51466/7057/2252/8826/117584/3690/64750/10672/6662/6093/1000/10982/4089/7040/5581/57142/51057/6869/9448/57669/23332/9839/90/8828/2066/2335/6714/7048/7474/5793/51421/5217/8929/5308/2247/1909/9037/411/90355/2241/4163/57556/2201/1839/1906/7162/2697/23328/9590/2768/5879/7291/358/54443/10512/9723/10371/223117/673/6469/80005/8754/253943/5747/23189/7763/10507/407007/154796/2719",96
"GO:0031346","GO:0031346","positive regulation of cell projection organization","131/4047","363/18986",0.360881542699725,1.69303112668569,6.93892783859463,5.14245169586288e-11,1.41837978978456e-08,1.03403543342824e-08,"2475/23028/23499/4898/4919/57554/23566/54874/163404/79574/5906/4921/55811/26052/27/5362/8829/6387/51196/8036/57698/627/4076/9638/2059/23426/10154/23603/8100/51761/5587/382/51199/27020/3480/406991/2909/238/10602/55704/140469/3655/4780/10787/2660/10152/2335/2043/9139/6714/23613/1002/7074/1826/2033/8850/22906/7474/6092/6091/2042/2932/4690/170506/5274/5584/22871/5290/9175/3064/9353/950/9693/2823/55714/9037/5295/4131/8507/2150/411/1946/324/153241/1809/81545/57451/4739/9750/55604/653/55754/1268/2534/26230/5879/54664/989/54443/5898/26053/9863/8321/57154/1523/8976/91584/5764/673/2146/4747/2185/6101/4067/27067/11075/50807/7436/5789/158297/4915/10507/4593/25/2889/6792/1756/407007/139818/10178/90167",131
"GO:0042327","GO:0042327","positive regulation of phosphorylation","163/4047","479/18986",0.340292275574113,1.59643912627875,6.88140326003392,5.14310817673732e-11,1.41837978978456e-08,1.03403543342824e-08,"2475/65018/3491/5906/1942/4921/8995/116496/5743/5788/25778/50604/7042/10006/8829/219771/355/2674/143384/7189/5795/85456/5058/3606/1389/3845/29110/8091/4254/3479/2321/8600/3356/115825/10464/10253/5911/652/57161/4331/7057/2200/2252/27020/57214/8826/28232/79705/146433/3690/10040/406991/2081/8313/57521/10928/284254/7040/6868/9475/22924/805/55704/54465/7039/3553/406915/92/90/2641/3655/55437/8324/2066/2043/51719/5621/9770/6714/5770/351/1826/3985/5155/152110/4057/6997/7474/6091/5217/5028/3592/23043/9175/5062/22998/3791/374/55024/1950/8654/59067/2247/55294/57600/9693/7424/5618/1601/9607/1946/10111/1839/2246/154/3937/8817/8737/654/4739/84830/1906/896/6885/2534/7164/4217/23328/23118/51429/4216/5879/3569/2887/1956/948/10142/857/673/2146/51422/2185/3084/8754/56892/4067/6386/8767/4683/284/114/5747/3717/3456/7010/4915/10507/4593/9966/79109/25/367/10178",163
"GO:0016055","GO:0016055","Wnt signaling pathway","162/4047","476/18986",0.340336134453782,1.59664488478861,6.8616305065006,5.82976927952956e-11,1.540759439169e-08,1.12325335284971e-08,"10076/23499/55182/4919/79971/7482/81839/607/79577/259266/2625/219771/22943/80114/5728/3087/6934/54764/55031/27122/406/25987/154810/100422991/10413/85458/1813/81029/4040/5800/100287314/144165/11197/8549/26524/122011/2308/8796/1910/51339/23002/51527/9101/53944/4088/7090/80349/79705/6477/29117/1001/51741/2300/64359/51701/6928/50964/64750/8313/6662/1000/4089/8932/115701/7040/245973/6382/5495/9736/129293/9839/130574/4929/79809/2487/8324/3485/8452/6714/55959/351/7074/84133/83999/9686/27303/9209/1499/8994/7474/166336/4286/2932/3836/51421/5523/25937/23043/79718/59343/3516/5311/4790/27123/1950/2247/1909/23240/7097/9037/1501/1601/55789/324/4163/1456/1452/10146/11063/100113407/1906/6659/7162/2309/84870/7957/5071/5879/2737/23072/2887/1956/9863/5218/8321/57154/29969/857/51384/6469/80139/6591/23213/6788/8323/340419/2131/8840/23189/4300/8434/2776/7091/7088/9314/25/6907/10159/4693/139886/2239/2719",162
"GO:0001934","GO:0001934","positive regulation of protein phosphorylation","156/4047","455/18986",0.342857142857143,1.60847188393519,6.83766666023627,7.08804545436541e-11,1.79837889268159e-08,1.31106457604325e-08,"2475/65018/3491/5906/1942/4921/8995/116496/5743/5788/50604/7042/10006/8829/219771/355/2674/143384/7189/5795/85456/5058/3606/1389/3845/29110/8091/4254/3479/2321/8600/3356/115825/10464/10253/5911/652/57161/4331/7057/2200/2252/27020/57214/8826/28232/79705/146433/3690/10040/406991/2081/8313/57521/10928/284254/7040/6868/9475/22924/805/55704/54465/7039/3553/406915/92/90/2641/55437/2066/2043/51719/5621/9770/6714/5770/351/3985/5155/152110/4057/6997/7474/6091/5217/5028/3592/23043/9175/5062/22998/3791/374/55024/1950/8654/59067/2247/55294/57600/9693/7424/5618/1601/9607/1946/10111/1839/2246/154/3937/8817/8737/654/4739/84830/1906/896/6885/2534/7164/4217/23328/23118/51429/4216/5879/3569/1956/948/10142/857/673/2146/51422/2185/3084/8754/56892/4067/8767/4683/284/114/5747/3717/3456/7010/4915/10507/4593/9966/79109/25/10178",156
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","90/4047","223/18986",0.403587443946188,1.89338058086541,6.98471901315354,7.60173692944995e-11,1.8545314362885e-08,1.35200122797869e-08,"23499/4070/3491/1435/6281/8829/9806/5328/7414/5728/51144/5795/5800/5318/23603/342184/7057/4088/79834/1012/246/3690/8631/6093/81/9475/5212/5581/51057/9448/3987/57669/23332/3655/8324/2335/182/54453/6714/57580/5770/4771/5155/11170/2042/1295/25890/90102/151887/2932/5291/6480/604/683/22998/3791/255743/133584/1601/56477/5295/10085/5921/1946/6695/81848/2651/4739/55604/7402/5879/10551/948/9723/1021/5054/673/10395/80005/2185/59339/5747/23189/3717/7010/25/395/25975/2824/8573",90
"GO:0030900","GO:0030900","forebrain development","145/4047","416/18986",0.348557692307692,1.63521530668491,6.81824821433713,8.83964727373735e-11,2.07666232064133e-08,1.51394036933833e-08,"23028/84879/6513/1600/431707/7482/4808/653464/9095/259266/8829/6387/5592/22943/10718/657/5728/10579/6506/25987/79659/85458/1813/9638/50937/3845/54407/7846/317/23603/9201/5101/1638/51199/652/3091/23224/64398/29954/8854/8925/3480/23322/999/23035/10642/1000/5802/2909/8648/238/57142/7852/4929/57282/79809/4036/285025/4760/8828/1385/2066/55054/23236/8195/22903/6714/351/4771/9215/5915/7155/8320/1499/7474/27086/6092/6091/5449/2932/8087/2049/6434/9353/3516/886/170825/2044/306/5308/63973/2247/79633/23657/84709/166614/9693/9037/1767/57688/5122/153241/3340/2890/1812/3400/114327/5454/2534/4852/358/3624/2737/4967/1956/9723/10371/1021/3912/389549/91584/26047/2146/6469/79648/10395/4747/84750/6867/55636/1392/157680/2131/83696/4781/4915/23287/9355/139411/170302/190/4983/7547/2258/6658",145
"GO:1901888","GO:1901888","regulation of cell junction assembly","103/4047","268/18986",0.384328358208955,1.80302896193606,6.89096467512862,1.01079947620958e-10,2.28982181342763e-08,1.66933913495815e-08,"22883/23499/5906/653464/647135/6281/50848/8829/22943/7414/9231/5728/627/5795/144165/347902/5908/8825/23603/9201/23077/84189/5911/382/5583/342184/7057/4088/79834/8128/79191/1636/10672/6093/5802/9475/9378/57142/51057/9448/3987/3553/57669/23332/55619/6616/23767/79953/6714/5770/351/1499/7474/11170/6092/2042/25945/90102/22871/2049/9076/3556/22998/3791/84525/5783/10611/7097/9693/4131/4208/1946/26999/7162/7058/5879/9844/8321/54674/9732/857/26047/10395/11178/2185/6591/27067/5747/7436/5789/7010/158038/4915/10507/4593/25/2889/57502/395/2824/23096/26280/2239",103
