"seqnames","start","end","width","strand","Conc","Conc_TES","Conc_TEAD1","Fold","p.value","FDR"
"2",7191911,7192311,401,"*",8.00557594759369,3.87833244811687,8.96369574242177,-4.85594042755436,1.05793928272102e-92,2.42921528829499e-89
"5",5069846,5070246,401,"*",7.86377498952087,4.9226417936378,8.76665439481418,-3.87288532113733,1.03940014720566e-91,2.25405470812073e-88
"15",87369211,87369611,401,"*",8.1980573286575,4.59448041591857,9.13746068347055,-4.32568648532903,3.77726245309281e-91,7.76028630823567e-88
"2",36655507,36655907,401,"*",7.74997385482982,4.50443639244124,8.6718384460468,-4.11003397883783,4.6367199842836e-91,9.04971822932552e-88
"1",231139971,231140371,401,"*",8.03396651825686,3.62540103019632,8.9995951173225,-5.17999226307501,1.11908470386351e-90,2.08016530549106e-87
"1",103265586,103265986,401,"*",8.1769755072656,4.91448224984226,9.09977790743034,-3.99595367611072,8.25324264532808e-87,1.46438784845628e-83
"9",71793741,71794141,401,"*",8.14056961947552,5.00038993738147,9.0563384881215,-4.00347486336262,1.55766783292841e-86,2.64363321123307e-83
"2",234996422,234996822,401,"*",8.60248146530412,4.60173262979759,9.55670192520492,-4.68962201111401,3.36612906953201e-86,5.47486867621591e-83
"9",109345614,109346014,401,"*",7.83826627035092,4.86447001946838,8.7433929102544,-3.69567464985286,3.94744651092722e-85,6.05109642785671e-82
"11",129861753,129862153,401,"*",7.70390469978322,4.39824503612976,8.62904278222595,-4.20164153281941,4.03044721722235e-85,6.05109642785671e-82
"9",127524388,127524788,401,"*",8.55314395502717,5.29878260517058,9.47549803848303,-4.00747862310371,1.17829582894764e-83,1.70351028455449e-80
"2",40434878,40435278,401,"*",7.43537589417027,3.93943019236054,8.36997762402415,-4.18683646131549,5.41145326992777e-81,7.54414565684395e-78
"9",118643127,118643527,401,"*",7.69236795232286,3.75513619681535,8.64449330239374,-4.62203999317348,3.51779900842392e-80,4.73507876875268e-77
"X",140132961,140133361,401,"*",7.55472432773588,4.48661935363963,8.46604295200021,-3.83628019632634,4.45843859814942e-80,5.80117168929209e-77
"9",37472366,37472766,401,"*",7.70831188294775,4.76780309470733,8.61114779661496,-3.69233059787943,6.46908441540385e-80,8.14582935984804e-77
"15",57356639,57357039,401,"*",7.47202503977265,2.33917074762568,8.45131817228331,-5.52333008697545,9.86848515887637e-80,1.20380099430231e-76
"1",23196916,23197316,401,"*",7.74841744367677,4.49019710107408,8.67098460804827,-4.21602679282216,1.71046183880544e-79,2.0232690265991e-76
"4",56302758,56303158,401,"*",7.85235128656493,5.06156379589713,8.74415374953311,-3.6266972427398,2.57096443559472e-79,2.95169402186588e-76
"15",39213424,39213824,401,"*",8.66702182031477,6.0104397101898,9.54782890158979,-3.41771290750971,2.94522596629497e-79,3.28476844555212e-76
"12",81888301,81888701,401,"*",7.55968108031541,3.61766505184732,8.5119675797667,-4.64786672392203,2.2253586938836e-78,2.41296879488185e-75
"8",128183182,128183582,401,"*",8.21991320340745,5.46955070318827,9.10851927699704,-3.47062127023173,3.9575076989508e-78,4.1751706223931e-75
"3",192879716,192880116,401,"*",7.88449209415306,5.14884029970466,8.77191078813845,-3.52656525670263,6.48499926258802e-78,6.66163016355588e-75
"5",93078439,93078839,401,"*",8.04597154873349,5.41801474603076,8.92428644300935,-3.3093514288076,7.79547970311418e-78,7.80247564643749e-75
"8",6594081,6594481,401,"*",8.16852895832796,4.75456422982314,9.09921351608658,-4.38505624382616,2.00573393953334e-77,1.9573456082421e-74
"15",83733281,83733681,401,"*",7.71201893749778,3.54392883545582,8.67132449299641,-4.87469995648382,2.67875979993792e-77,2.55037533635553e-74
"22",45518609,45519009,401,"*",7.45412768306013,4.23806525636912,8.37433408208964,-3.96950868443538,5.01879511247797e-77,4.66449207656137e-74
"9",87280430,87280830,401,"*",7.476626633739,3.47145178497598,8.43098956608218,-4.62770206303539,5.74723284080435e-77,5.21728451025111e-74
"10",77991825,77992225,401,"*",7.70403208603282,4.74169484146695,8.60837652480554,-3.72360322677879,1.73148902795397e-76,1.53610623195871e-73
"11",103633394,103633794,401,"*",8.19104276986977,5.5346855991215,9.07183047613156,-3.49722649017801,6.79512804517871e-76,5.89439607207891e-73
"11",69420522,69420922,401,"*",7.8647051147607,5.11600443682544,8.75317770837178,-3.57228721755394,1.16510917973107e-75,9.88696452843527e-73
"20",13643996,13644396,401,"*",7.89384294731641,4.01711300182711,8.84388199403872,-4.64237044083774,3.03706449314751e-75,2.52237898914921e-72
"2",47076810,47077210,401,"*",8.10608780767103,4.47573746271909,9.04662862195662,-4.32368489970465,2.53435028458302e-74,2.06100756997288e-71
"6",22877881,22878281,401,"*",7.54165903079413,4.79101056664929,8.43028805667572,-3.55507741142788,9.39481451509943e-74,7.48421601218176e-71
"6",71469089,71469489,401,"*",7.21472604873049,3.12572535458371,8.17170390286083,-4.9937459158443,2.10669746197034e-73,1.64469870856025e-70
"5",171667808,171668208,401,"*",7.37566069057149,3.40997521180494,8.32873637675785,-4.86822340885341,4.90868954380316e-73,3.7570724773011e-70
"15",66774317,66774717,401,"*",8.02913071527567,4.85307437638908,8.94702841179021,-3.89206999606171,6.7799454600653e-73,5.08952251987786e-70
"9",97768695,97769095,401,"*",7.23055358682454,3.14635692258769,8.18738577434726,-4.85844006188539,1.14881119486765e-72,8.46110282861487e-70
"1",54934880,54935280,401,"*",7.62069391983786,3.53685535458274,8.57751522914328,-4.77789830421786,6.79580687585426e-72,4.91248743331428e-69
"17",835349,835749,401,"*",8.06437076525437,5.77621580205939,8.90856582851247,-3.10675815776337,1.50091621843078e-71,1.06524117429901e-68
"6",35425240,35425640,401,"*",8.8973735128609,6.56101084553966,9.74696538207035,-3.11940363315409,5.37108328790592e-71,3.74393278827514e-68
"3",44048319,44048719,401,"*",7.6392375835202,4.76629181954553,8.53724644139859,-3.61230045118904,2.1195054718e-70,1.45148940511777e-67
"8",73202790,73203190,401,"*",7.91106655851664,5.26598971638894,8.79087841968964,-3.39765345926186,2.60480416017912e-70,1.7530781102171e-67
"11",33557316,33557716,401,"*",7.95049017426997,4.55406628684578,8.88030586310566,-4.19250731385726,2.68374848937627e-70,1.77559529292886e-67
"X",80765242,80765642,401,"*",7.6139127891188,4.06558931793215,8.55089793989009,-4.16737790457764,4.05173482776604e-70,2.63599115003079e-67
"9",81559725,81560125,401,"*",7.25373267208416,3.34525093682639,8.20487790720047,-4.65264811317337,9.10582691805919e-70,5.8269828483023e-67
"10",77416389,77416789,401,"*",7.62734566507825,4.75657029000067,8.52519540552065,-3.63808647718805,2.1153104365775e-69,1.33179262728714e-66
"2",221779736,221780136,401,"*",8.07540289798643,4.22043566724625,9.0246690739488,-4.57770642357789,2.32770930511079e-69,1.442256075e-66
"15",57551695,57552095,401,"*",7.42641849241374,3.38335811322388,8.38198267380061,-4.5671511141543,2.45723558426498e-69,1.49872173487162e-66
"11",126992110,126992510,401,"*",7.8492448425549,4.16877236496016,8.79185684770405,-4.46736476630715,2.55207242605903e-69,1.53261764848022e-66
"5",66454525,66454925,401,"*",7.44894877495952,4.36623953668231,8.36118831282397,-3.81917306579232,8.01365159654895e-69,4.73958924350437e-66
"7",133853672,133854072,401,"*",8.13520871328557,6.21555538429789,8.93071135062316,-2.65512733380045,8.98077288698338e-69,5.23230551706562e-66
"6",80425015,80425415,401,"*",7.34114378413566,3.66912502080281,8.28341168879881,-4.50346057690194,1.9959180219149e-68,1.145744999786e-65
"1",59128775,59129175,401,"*",8.48271008534638,5.92691394588985,9.35449824286619,-3.35948379465357,2.27989316536498e-68,1.28979173492785e-65
"15",86750901,86751301,401,"*",7.73338524289723,4.84502070632111,8.63251713144413,-3.67374760585286,2.49628362508025e-68,1.39203473292868e-65
"5",9359160,9359560,401,"*",8.35456114598477,5.64211621778437,9.24007986791935,-3.70823524295366,5.90637721793428e-68,3.24725964369105e-65
"16",69917804,69918204,401,"*",7.2617734813073,3.5874853500001,8.20413396460315,-4.72722273629133,1.9225654394774e-67,1.04232419347223e-64
"7",84277617,84278017,401,"*",7.9524270325731,5.72064923113676,8.79005045393751,-3.08101125316332,6.27728798031828e-67,3.35662926454417e-64
"11",47104299,47104699,401,"*",7.78572193653837,5.72952369084774,8.60092941444677,-2.87869467434661,1.56397962324254e-66,8.24999251260438e-64
"4",7861393,7861793,401,"*",7.69920469230078,4.59470052500943,8.6128002798137,-3.75704213191229,2.05476649980582e-66,1.06943747093227e-63
"3",101036269,101036669,401,"*",7.8882755666117,4.68788764215314,8.8075854681379,-3.97652789002167,2.64517241349813e-66,1.35473383889698e-63
"4",121784980,121785380,401,"*",7.63105206226057,4.63122190446568,8.53793133434446,-3.90522714179639,2.67233266543019e-66,1.35473383889698e-63
"1",101174813,101175213,401,"*",7.6159463331007,5.05478489498067,8.48823211999205,-3.31860292533142,3.63109432162516e-66,1.81717649800818e-63
"1",244164018,244164418,401,"*",7.31382902732908,3.53218960871519,8.26040032221493,-4.41189226752272,5.11183177548833e-66,2.52582725767325e-63
"13",72291301,72291701,401,"*",7.02940759414496,3.55096780445327,7.96319233238219,-4.18068587710512,2.08623138201178e-65,1.01795052496037e-62
"9",94922245,94922645,401,"*",7.79779348669465,5.28638837723271,8.66538579793783,-3.29932719746239,3.66929285822031e-65,1.76828205827938e-62
"10",37535894,37536294,401,"*",8.42180404375727,6.53854258804881,9.2116833172369,-2.6235630178396,3.86609319798552e-65,1.84040180467518e-62
"3",37936301,37936701,401,"*",7.71175721658249,4.86422330366413,8.60788684787532,-3.54451088428667,4.25097017575365e-65,1.99923639530776e-62
"20",33909552,33909952,401,"*",8.09995249666017,5.86946955410669,8.93742158504419,-2.98461487224839,4.31775609066308e-65,2.00647153570278e-62
"5",167814825,167815225,401,"*",7.90942065456241,5.82889683855589,8.7279206787513,-2.8581901483274,7.6051197340076e-65,3.4925393978469e-62
"7",23713841,23714241,401,"*",7.45069090703709,4.65597420815257,8.34279893087882,-3.69260588676298,1.34011364031358e-64,6.08271348251633e-62
"1",26239972,26240372,401,"*",7.53721231890354,4.69294712070029,8.43309763479023,-3.62209150266962,1.38117082395813e-64,6.19701185209259e-62
"4",15452017,15452417,401,"*",7.12802640658437,2.77355919792937,8.09232529238048,-4.76538424389439,2.13366633345334e-64,9.46450742344899e-62
"3",140629725,140630125,401,"*",6.98694453931565,2.93185914934975,7.94288324886842,-4.86932979625118,2.45805176167692e-64,1.07809045524785e-61
"3",106728388,106728788,401,"*",7.51319346429313,4.11671066481097,8.443012089879,-4.08417410131499,3.05857930679969e-64,1.32657381378806e-61
"13",113897140,113897540,401,"*",7.02048372563591,3.56619220711101,7.95312430571412,-4.44090144699851,3.1222017017108e-64,1.33928729039869e-61
"5",56278695,56279095,401,"*",7.06244001522206,3.66278834702581,7.99241642268698,-4.44726207331725,3.30073575618998e-64,1.40048065481387e-61
"9",106892663,106893063,401,"*",6.92772719632044,3.03307133156733,7.87839385237582,-4.67678570314818,4.07160935912428e-64,1.70898141218727e-61
"12",79547230,79547630,401,"*",8.0272257494644,6.04374300411476,8.83220555055685,-2.77286617745841,4.30450442462546e-64,1.78751415122612e-61
"3",187519567,187519967,401,"*",7.05789953107263,2.47145178497598,8.0275574663879,-5.14228321555987,7.27130290462987e-64,2.98774009349713e-61
"11",113553226,113553626,401,"*",7.22541622520101,3.34285066214989,8.17566047111042,-4.50591686788244,7.35388523725096e-64,2.99019698162595e-61
"4",123986378,123986778,401,"*",7.73993723868159,3.40646279515006,8.70370621116855,-5.0091261318896,9.15413659621558e-64,3.68383218591005e-61
"12",10031738,10032138,401,"*",7.03853161515906,2.78227732035854,8.00028184983336,-4.79610144766813,2.33087941158691e-63,9.28427324809135e-61
"13",44714095,44714495,401,"*",7.20728669753996,3.93602398942798,8.1305695842921,-4.04959322702172,3.97580931258469e-63,1.56763350016913e-60
"11",28836258,28836658,401,"*",8.57588120794795,6.35402502325876,9.41231811387142,-3.09463842574592,1.12125809475512e-62,4.37683097287661e-60
"12",56591976,56592376,401,"*",7.33074592835213,4.2318134225898,8.24399692248664,-3.84606519026319,1.25352083395108e-62,4.84467185676044e-60
"20",61186172,61186572,401,"*",7.46239718967072,4.04874217658071,8.39306650191862,-4.14528956072619,1.61826803984864e-62,6.19304832700899e-60
"5",57837609,57838009,401,"*",7.45508534447413,4.3388815480707,8.36939994299047,-3.86508985973579,2.42296070480966e-62,9.18255059342185e-60
"18",8800502,8800902,401,"*",7.98060993291556,5.12535893086326,8.87731401258985,-3.58149705609078,7.01875770684003e-62,2.63439622198558e-59
"7",41027365,41027765,401,"*",7.34500930990718,4.68396110273207,8.22620039722817,-3.63383046373909,7.19334937526945e-62,2.67421326536803e-59
"18",73688903,73689303,401,"*",7.03775708060557,3.31888292273753,7.98190605281755,-4.34269072266955,8.95378599285136e-62,3.2972739267071e-59
"6",52424025,52424425,401,"*",7.4092091472612,3.83888626385214,8.34716871522073,-4.14204922521494,1.00534324119851e-61,3.66762368412933e-59
"7",94183410,94183810,401,"*",8.19904478374361,6.17933466770457,9.00919358267176,-2.78569042009125,1.02705397601641e-61,3.71213444016673e-59
"11",126645227,126645627,401,"*",7.06473839933642,3.86709614190476,7.98389020067861,-3.89444039725245,1.11487681152232e-61,3.99258865484162e-59
"9",92970391,92970791,401,"*",8.35854585170585,5.77190810625197,9.23316716818167,-3.33794714546996,1.44594101854582e-61,5.1311188780851e-59
"18",9808413,9808813,401,"*",8.35033371653826,5.72976942204625,9.22799621643329,-3.40577151941383,1.69515467705523e-61,5.96129394764422e-59
"6",83443503,83443903,401,"*",8.91961456612308,7.08919337065316,9.70103092214308,-2.53934160489509,1.96866126992289e-61,6.86131184566429e-59
"2",43086466,43086866,401,"*",7.94697205942957,4.91763597978183,8.85579734574998,-3.77393782093565,3.6722755603073e-61,1.26855996899642e-58
"10",79157519,79157919,401,"*",8.09591878917776,5.15864902199198,8.99852877313233,-3.91797843368193,3.92216753857624e-61,1.34299833217828e-58
"10",16966042,16966442,401,"*",8.04269354301385,6.31501306160088,8.80658351870774,-2.47511444212567,4.3053920554165e-61,1.46139981637551e-58
"1",236980512,236980912,401,"*",7.05602911132756,2.98854668807138,8.01235058127063,-4.84756608475571,4.34403995960971e-61,1.46180689502901e-58
"16",66240979,66241379,401,"*",7.24989944793413,4.40788157471685,8.14561644525518,-3.62306453220059,4.74650987663963e-61,1.58358985499682e-58
"2",62654408,62654808,401,"*",7.43324495226705,4.41552721725537,8.34130902937967,-3.70397511974967,7.30097601904394e-61,2.41519999070661e-58
"13",27403167,27403567,401,"*",7.30933468863329,4.40311843333288,8.20975083585421,-3.62050286628038,7.36646424710028e-61,2.41638598223159e-58
"9",37415018,37415418,401,"*",8.24559571080396,5.54827207043732,9.1298585161772,-3.44046524248796,1.12766870462294e-60,3.66821232374636e-58
"9",2809776,2810176,401,"*",7.28774240344991,4.63273079817851,8.16841414172239,-3.36908467487126,1.35969990062585e-60,4.38643682817604e-58
"10",58963800,58964200,401,"*",7.23919617965355,3.98583407127628,8.16149499017091,-3.94468082469423,1.48854660368747e-60,4.76273907171642e-58
"2",27622902,27623302,401,"*",7.40639386456528,4.68599512156975,8.29256750203967,-3.38064121506645,1.78429025781785e-60,5.66258294422111e-58
"7",32115740,32116140,401,"*",7.54731663803544,4.08059846451773,8.48054850471022,-4.11324142768552,2.42183026445478e-60,7.62388261072519e-58
"11",8917448,8917848,401,"*",7.44096537464106,4.45151114483879,8.34715017043983,-3.71954586774515,2.99358768429055e-60,9.34837562050253e-58
"18",22551782,22552182,401,"*",8.05544345714879,4.08886265393281,9.00854873344556,-4.55663336809538,5.26386809260441e-60,1.63075469043502e-57
"15",87764830,87765230,401,"*",7.3209478904119,4.54263779040881,8.21177406063604,-3.41072198354029,1.03934425513554e-59,3.19455141726107e-57
"15",92510209,92510609,401,"*",7.41534288297725,4.34285066214989,8.32693919978217,-3.70265058360317,1.61456639903645e-59,4.92379682706155e-57
"5",37771678,37772078,401,"*",8.55062821602753,4.95891880169024,9.48952030089481,-4.23492923775282,1.77263215436984e-59,5.363929933785e-57
"18",2617996,2618396,401,"*",8.09009485634839,6.14482200500054,8.8894593474766,-2.70600577675905,2.24056584319048e-59,6.72772982222618e-57
"2",86114423,86114823,401,"*",7.42527576439444,4.49094887993429,8.32768000397833,-3.56082356312803,1.44814842724926e-58,4.31515067615838e-56
"6",44662822,44663222,401,"*",8.66972339083662,7.23330576868049,9.37505231050003,-2.16575264052181,2.59191825283766e-58,7.66481280299379e-56
"14",63174812,63175212,401,"*",7.32987914737456,4.8972738827794,8.18966534742964,-3.19433621559334,2.90984953917048e-58,8.54029900462554e-56
"12",6053549,6053949,401,"*",7.42837888625481,4.15656310886672,8.3516919730598,-3.99520161720903,3.06172341474747e-58,8.91898309661699e-56
"11",115226584,115226984,401,"*",7.72553787648849,5.6200877140592,8.54734708477195,-2.86515406700939,8.35847982551927e-58,2.41683896288255e-55
"7",92025272,92025672,401,"*",7.52074852484751,4.88611733023533,8.39964932297274,-3.51110485983257,9.72033758576642e-58,2.78995130632641e-55
"X",150689059,150689459,401,"*",7.33966914681428,4.64293174481883,8.22388297375281,-3.67013546711341,1.97141803247652e-57,5.61710240129351e-55
"9",71663763,71664163,401,"*",8.2264394209264,5.16607091770422,9.13726616873587,-3.78807674771245,1.98696519346834e-57,5.62037582079977e-55
"1",8211901,8212301,401,"*",7.05615122672451,4.20084378386723,7.95285949561768,-3.66859063894719,2.02313538795107e-57,5.68151725673885e-55
"3",124774301,124774701,401,"*",7.09880853404853,3.46128241506078,8.03965048834913,-4.13556206227874,2.59385673615489e-57,7.23222840684329e-55
"16",88307157,88307557,401,"*",7.53582078072558,5.00906714908748,8.40487984861533,-3.23209335572096,3.31570757274768e-57,9.17933653207134e-55
"5",56211464,56211864,401,"*",6.98185070593222,3.93026123485521,7.89211588319971,-3.83016824498562,5.226978336463e-57,1.4368668969284e-54
"4",95304856,95305256,401,"*",7.76777872345915,5.62601070710967,8.59429514299127,-2.86901686545853,1.18938701352286e-56,3.2466938512493e-54
"2",100742291,100742691,401,"*",8.37050905858091,6.36170126312808,9.17911785900154,-2.73489324486471,1.28613521753917e-56,3.46332175396828e-54
"19",28023041,28023441,401,"*",6.88149372358895,3.17705541204994,7.82506990867115,-4.21660654588464,1.2864907245431e-56,3.46332175396828e-54
"6",1481347,1481747,401,"*",7.66424727335563,5.40483568555147,8.50512767839403,-2.99356466645652,1.73221350251435e-56,4.63129822401695e-54
"6",144953933,144954333,401,"*",7.78697711578491,5.29931406889373,8.65226658647146,-3.28145708727216,1.92158280715923e-56,5.10265203248031e-54
"9",115672939,115673339,401,"*",7.11095995852356,4.15468051910907,8.01488819652341,-3.78067812774134,2.80488848767673e-56,7.39789338624737e-54
"2",11710231,11710631,401,"*",7.96639119964952,5.63784277514355,8.8151218265892,-3.05203703811686,2.84649756645258e-56,7.45725050379035e-54
"6",88359935,88360335,401,"*",8.48704832329496,6.06293707967698,9.34596473265829,-3.27467126234066,2.88701375741321e-56,7.5129721347083e-54
"6",11277223,11277623,401,"*",6.80090627243274,3.18448730476336,7.74085796376321,-4.49094219078932,4.1674024844393e-56,1.07731494026548e-53
"15",58469942,58470342,401,"*",7.09661044229869,4.07350555303786,8.00502828654704,-3.89559999033159,5.50929509781964e-56,1.41483772462756e-53
"2",79717339,79717739,401,"*",7.10940174337328,4.46138026969093,7.98946914056974,-3.548491578416,8.25204705982425e-56,2.10535069921725e-53
"19",28313685,28314085,401,"*",7.61368652615261,5.59443661903479,8.42377058673011,-2.87965016549038,1.32509611036287e-55,3.358774458962e-53
"2",226185732,226186132,401,"*",7.58765464297945,5.05731491767144,8.45705395393683,-3.35373063017765,1.47494440475999e-55,3.71448095740684e-53
"8",120970961,120971361,401,"*",7.54189262984645,5.22458405000266,8.38937534269144,-3.21339897760861,1.69136653374944e-55,4.23221106698138e-53
"5",57841660,57842060,401,"*",7.35155464376871,3.80052271949043,8.28866059903697,-4.15185821013392,3.91331855708359e-55,9.72970636151324e-53
"5",57825119,57825519,401,"*",7.17270956914711,4.05439627311393,8.08715315160131,-3.86190355300381,4.04503906842265e-55,9.99355063518217e-53
"12",69052991,69053391,401,"*",6.86585938011786,3.66912502080281,7.78495883309092,-4.03504615714894,4.13307969896531e-55,1.01468406320196e-52
"7",18778447,18778847,401,"*",7.19869356432747,4.22872714499321,8.10355951484864,-3.75059529555513,4.97305727263734e-55,1.21327056648374e-52
"X",129666280,129666680,401,"*",7.13151050376904,4.57577807940682,8.00329273957897,-3.40638562067146,6.06567883308074e-55,1.47064455434352e-52
"3",188594158,188594558,401,"*",7.32095908555386,3.68316767950825,8.26181214305903,-4.21523852704476,7.40605328955598e-55,1.78453882813468e-52
"12",110039031,110039431,401,"*",7.88850570972277,5.50711224707414,8.74296108341572,-3.15184192561528,7.61487999147625e-55,1.82360024826549e-52
"1",171909750,171910150,401,"*",7.00998390466099,3.32300071649502,7.95285949561768,-4.30228889797515,9.11753034582849e-55,2.17013900639887e-52
"11",12540940,12541340,401,"*",7.11781583666305,4.38980195644962,8.00461285253166,-3.54157511931285,1.02909364629734e-54,2.43458608989192e-52
"14",34223522,34223922,401,"*",7.2404414150481,4.15298938899429,8.15297789784529,-3.85627906526297,1.17627507166409e-54,2.76601791701251e-52
"18",9643539,9643939,401,"*",7.60435447065986,4.91194105742463,8.48820637451361,-3.3822644987485,1.20998609008711e-54,2.82825191775751e-52
"21",33849819,33850219,401,"*",7.69699337978462,4.93663696672671,8.58639868598509,-3.39440098732325,1.24155525450984e-54,2.88476841427331e-52
"2",175600059,175600459,401,"*",7.27997974135146,4.16242784178657,8.19437679180958,-3.79756754637086,1.27865300182442e-54,2.95338579445066e-52
"5",36646526,36646926,401,"*",7.20067052054088,4.24044850960146,8.10486984460749,-3.61728858768185,2.09678396493965e-54,4.81458600420113e-52
"1",41629604,41630004,401,"*",7.32280553074502,4.88302470628063,8.18332212561633,-3.23391747007184,3.10832166407157e-54,7.09551673432945e-52
"9",32742225,32742625,401,"*",6.99323638419881,4.19961948343719,7.88525897093046,-3.64381895481047,3.64800825469624e-54,8.27906989663185e-52
"13",101455866,101456266,401,"*",6.88895123317249,3.93539731659693,7.79269160434621,-3.83993178787183,4.86789559887046e-54,1.09837170347924e-51
"8",38660029,38660429,401,"*",6.87194423163621,4.00482235891789,7.76952554234835,-3.76084491077188,5.39514467755249e-54,1.21034179590955e-51
"18",42330313,42330713,401,"*",8.09884531406463,5.81725089382831,8.94229029453999,-2.99609570823398,7.18943781990243e-54,1.60365545885652e-51
"1",29974326,29974726,401,"*",7.37167838990173,4.59424325424188,8.26243575633973,-3.46727132766392,9.03719201059395e-54,2.00435676212236e-51
"9",69307753,69308153,401,"*",7.21559767151238,4.54863666831773,8.09729517403232,-3.48258629224887,9.63129549259707e-54,2.12405434776004e-51
"17",30309572,30309972,401,"*",7.13503022186865,4.77067947947525,7.98766466614099,-3.13774256251147,1.25743951410062e-53,2.75753659735493e-51
"20",51910705,51911105,401,"*",8.21816805832594,5.91727043012936,9.06380920959115,-3.05126910211357,1.45891814449439e-53,3.18150110448819e-51
"3",183318622,183319022,401,"*",7.16813745938192,4.77566642004664,8.02376371925912,-3.19390255925538,1.7565392986103e-53,3.80925064006962e-51
"9",98223228,98223628,401,"*",6.99841435032786,3.42537811469722,7.93649302923022,-4.48209985317562,2.68187193290427e-53,5.78380502215018e-51
"7",44163561,44163961,401,"*",7.85053709214554,5.95280046614658,8.64267274212643,-2.6367873004678,3.56311718548629e-53,7.64210326018996e-51
"9",72485814,72486214,401,"*",7.08766070742823,4.66330302922956,7.94660243138447,-3.19952465600064,5.76401258778772e-53,1.22949853204532e-50
"15",69794889,69795289,401,"*",7.8644303704768,5.57205403205137,8.70910606838016,-2.98708130021048,5.80716624862792e-53,1.23197138323473e-50
"2",48548808,48549208,401,"*",7.04040457836251,4.36813694462703,7.92255466529504,-3.58754107211625,6.53402942905077e-53,1.37868020952971e-50
"9",94912868,94913268,401,"*",7.86984535897038,5.69742714969945,8.70023170577186,-2.87930008699521,9.39802727991943e-53,1.97232255307341e-50
"17",71548500,71548900,401,"*",7.27186907196915,4.69446501195246,8.14564909123991,-3.28692882306101,1.02752281538323e-52,2.14488519243232e-50
"7",149233617,149234017,401,"*",7.02641045535181,3.26290892032178,7.97229295535318,-4.28197760658419,1.39448060917284e-52,2.89540162654585e-50
"3",191566517,191566917,401,"*",7.37010943778649,4.86485905116979,8.23710876242936,-3.40260636625344,1.73530800022081e-52,3.58400781950366e-50
"7",137508741,137509141,401,"*",7.14585216164522,3.97339182444085,8.06353900018922,-4.12179731248975,2.43618568138856e-52,5.00507937226328e-50
"9",106076006,106076406,401,"*",7.40507120117705,4.82187714048314,8.27937944427508,-3.32020244289958,4.07419526943561e-52,8.32650326400099e-50
"9",112569225,112569625,401,"*",7.03564748909172,4.47068977464456,7.90828415962979,-3.49200397521311,6.06306871572566e-52,1.23266607978308e-49
"20",8693795,8694195,401,"*",7.06982018605062,3.97470503792352,7.98283426896888,-3.83822312925627,6.4687968021392e-52,1.30833929104406e-49
"5",73938561,73938961,401,"*",7.57339640904955,5.68886122362922,8.36347528227919,-2.61716903527879,9.66079322217191e-52,1.94386115168804e-49
"2",222959297,222959697,401,"*",7.89466616361907,5.82244222506149,8.71204984798927,-2.84201472899836,1.31200268702317e-51,2.62636025066408e-49
"1",93754456,93754856,401,"*",7.36007748077868,5.00784677998482,8.21140238830664,-3.11248207025263,1.41461329854899e-51,2.81731786269694e-49
